Time (s),Range (mm),Lumens (0dB)
0.59,47,11.46
0.94,46,11.33
1.14,45,11.26
1.78,45,11.07
1.95,46,10.88
2.1,45,10.56
2.26,45,9.41
2.42,45,8.38
2.58,46,8.45
2.73,45,8.13
2.89,44,8.06
3.05,45,8.06
3.22,44,8.26
3.37,47,9.09
3.53,45,9.28
3.68,44,10.56
3.84,46,10.75
4.0,45,10.94
4.16,43,11.14
4.31,44,11.2
4.46,44,11.2
4.62,46,11.2
4.77,46,11.2
4.94,44,11.2
5.09,44,11.2
5.25,46,11.2
5.4,46,11.26
5.55,46,11.26
5.72,46,11.33
5.87,45,11.33
6.03,43,11.33
6.18,45,11.26
6.34,45,11.01
6.49,47,10.82
6.66,47,10.82
6.82,47,10.69
6.97,46,10.69
7.13,44,10.82
7.28,44,11.01
7.45,47,11.33
7.61,46,12.1
7.76,43,12.99
7.92,45,13.18
8.07,47,12.86
8.24,46,12.86
8.4,44,13.12
8.56,46,13.5
8.71,45,12.48
8.87,45,12.03
9.03,45,11.65
9.19,44,11.07
9.34,46,10.5
9.5,44,10.3
9.65,45,9.98
9.81,44,9.73
9.97,46,9.98
10.12,45,10.24
10.28,44,10.43
10.44,41,10.69
10.61,44,10.88
10.78,43,11.65
10.95,44,10.69
11.12,41,10.3
11.29,44,10.37
11.46,42,9.92
11.63,44,9.22
11.79,42,8.51
11.95,45,7.62
12.1,42,7.49
12.27,42,7.55
12.42,43,7.62
12.58,42,7.62
12.74,41,7.81
12.89,42,7.68
13.06,41,7.74
13.22,42,7.87
13.37,40,7.81
13.53,41,7.74
13.7,42,7.74
13.87,40,7.74
14.02,40,7.81
14.18,42,7.74
14.34,43,7.68
14.49,42,7.74
14.67,42,7.74
14.82,41,7.74
14.98,41,7.81
15.14,40,7.74
15.29,40,7.74
15.47,41,7.74
15.62,41,7.68
15.78,41,7.74
15.94,41,7.74
16.09,39,7.74
16.26,40,7.74
16.42,41,7.74
16.58,43,7.81
16.74,42,7.81
16.89,38,7.81
17.07,43,7.87
17.22,42,7.81
17.38,41,7.81
17.54,41,7.81
17.7,38,7.74
17.87,40,7.74
18.03,40,7.74
18.18,38,7.74
18.35,41,7.74
18.5,40,7.74
18.68,40,7.74
18.83,37,7.74
18.99,40,7.74
19.15,41,7.74
19.3,40,7.74
19.48,41,7.74
19.63,39,7.74
19.79,41,7.74
19.95,41,7.81
20.1,40,7.81
20.28,40,7.81
20.43,40,7.81
20.59,41,7.87
20.75,40,7.94
20.9,40,7.87
21.08,41,8.13
21.23,40,9.92
21.39,41,10.82
21.55,41,10.69
21.7,38,10.56
21.88,39,10.56
22.04,39,10.5
22.19,39,10.43
22.35,37,10.37
22.51,39,10.24
22.68,40,10.3
22.84,40,10.24
22.99,39,10.24
23.15,40,10.18
23.31,39,9.98
23.48,38,9.79
23.64,39,9.66
23.79,38,9.6
23.95,39,9.54
24.11,42,9.66
24.27,38,9.66
24.43,40,9.6
24.59,39,9.41
24.75,41,9.09
24.9,40,8.83
25.07,40,8.64
25.24,42,8.51
25.39,39,8.45
25.55,41,8.38
25.71,40,8.13
25.87,38,8.0
26.04,40,7.81
26.19,40,7.55
26.35,42,7.49
26.51,43,7.42
26.67,40,7.36
26.84,38,7.36
27.0,38,7.42
27.15,37,7.36
27.31,37,7.3
27.47,39,7.23
27.64,35,7.1
27.8,36,7.1
27.95,34,7.04
28.11,34,6.91
28.27,35,6.85
28.44,36,6.78
28.6,32,6.78
28.75,34,6.85
28.91,35,6.85
29.07,35,6.85
29.24,35,6.78
29.4,34,6.78
29.55,32,6.78
29.71,35,6.78
29.87,34,6.91
30.04,33,6.85
30.2,34,6.85
30.36,33,6.85
30.52,32,6.85
30.67,34,6.78
30.85,32,6.78
31.0,33,6.78
31.16,33,6.78
31.32,32,6.78
31.47,34,6.66
31.65,33,6.72
31.82,34,7.17
31.97,34,7.42
32.13,31,7.04
32.29,32,6.66
32.44,31,6.66
32.61,33,7.04
32.77,34,7.36
32.93,33,7.23
33.09,34,6.78
33.24,33,6.59
33.41,33,6.78
33.57,31,7.1
33.73,33,7.3
33.88,34,7.49
34.04,32,7.74
34.21,35,7.87
34.37,32,7.87
34.53,34,8.0
34.69,31,8.06
34.84,36,8.06
35.02,34,8.06
35.17,34,8.06
35.33,35,8.06
35.49,33,8.0
35.64,33,7.87
35.82,33,7.81
35.98,31,7.23
36.16,34,6.85
36.31,32,6.98
36.47,32,7.17
36.64,34,7.55
36.8,35,8.0
36.96,35,8.26
37.11,34,8.45
37.27,34,8.51
37.44,35,8.58
37.6,36,8.64
37.75,35,8.64
37.91,37,8.64
38.07,35,8.45
38.24,37,8.19
38.4,36,8.13
38.55,38,8.19
38.71,37,8.32
38.87,37,8.64
39.04,37,8.77
39.2,39,8.9
39.36,39,8.9
39.52,36,8.9
39.67,39,8.9
39.85,38,8.96
40.0,37,9.02
40.16,38,8.96
40.32,39,9.02
40.47,37,9.02
40.65,36,8.96
40.8,38,8.96
40.96,37,8.96
41.12,40,8.96
41.27,39,8.96
41.45,38,8.96
41.6,38,8.96
41.76,39,8.96
41.92,38,9.02
42.07,40,9.02
42.25,38,9.09
42.4,39,9.09
42.56,43,9.09
42.72,39,9.09
42.88,40,9.02
43.05,38,8.9
43.2,39,8.9
43.36,38,8.9
43.52,39,8.96
43.68,39,8.96
43.85,41,9.02
44.01,41,9.02
44.17,40,9.09
44.32,40,9.09
44.48,39,9.15
44.65,41,9.15
44.8,40,9.15
44.96,40,9.22
45.12,41,9.22
45.27,42,9.22
45.43,42,9.15
45.61,40,9.15
45.76,38,9.15
45.92,41,9.15
46.08,39,9.22
46.23,41,9.22
46.41,42,9.15
46.56,40,9.15
46.72,39,9.15
46.88,38,9.09
47.03,38,9.15
47.21,38,9.15
47.36,38,9.09
47.52,39,9.09
47.68,38,9.09
47.84,39,9.09
48.01,41,9.15
48.17,41,9.15
48.32,39,9.15
48.48,40,9.15
48.64,41,9.22
48.81,40,9.15
48.97,40,8.9
49.12,39,8.26
49.28,38,8.26
49.44,39,8.51
49.61,40,8.83
49.77,40,8.64
49.93,40,9.47
50.08,41,9.6
50.24,44,11.65
50.41,43,12.61
50.57,42,12.74
50.73,44,12.74
50.88,44,12.67
51.04,46,12.93
51.21,45,13.63
51.37,45,12.8
51.53,41,12.1
51.68,45,11.65
51.84,44,11.52
52.01,45,12.29
52.17,45,12.99
52.32,44,14.27
52.48,43,14.14
52.64,48,12.99
52.81,46,13.06
52.96,44,13.12
53.12,46,13.12
53.28,46,13.06
53.44,45,12.99
53.61,46,12.93
53.77,44,12.93
53.93,44,12.93
54.09,44,12.93
54.25,45,12.99
54.42,47,12.99
54.59,45,13.06
54.75,48,13.06
54.92,47,13.18
55.08,47,13.25
55.24,44,13.18
55.4,46,13.25
55.56,45,13.25
55.71,44,13.25
55.89,46,13.31
56.06,45,13.25
56.23,46,13.25
56.39,45,13.31
56.55,47,13.31
56.73,48,13.25
56.89,46,13.18
57.04,47,13.18
