,Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity (mm/s),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s)
35,7.8,42,43.0,43.0,43.375,43.2,19.2,0.0,-3.921568627450995,-0.8823529411764639,-1.960784313725505
36,7.97,42,42.0,42.8,43.25,43.0,19.14,5.882352941176407,-0.9803921568627914,0.2941176470587834,-5.882352941176473
37,8.14,44,42.666666666666664,43.0,43.25,43.3,19.01,2.9411764705882035,2.941176470588246,0.8823529411764639,3.921568627450948
38,8.31,43,43.0,42.6,43.0,43.3,18.56,-3.0252100840336027,1.9078742608154613,-0.2698412698412511,1.960784313725505
39,8.49,43,43.333333333333336,42.8,43.0,43.2,17.86,-2.842170943040401e-14,-0.10893246187367822,-0.8748832866480143,1.8518518518518678
40,8.66,43,43.0,43.0,43.0,43.0,17.34,-2.6984126984126817,-1.907874260815447,-0.8748832866480001,-1.960784313725505
41,8.84,42,42.666666666666664,43.0,42.625,42.9,17.09,-2.8528528528528483,-1.8044360149623344,-0.5413308044887088,-1.8518518518518678
42,9.03,42,42.333333333333336,42.6,42.625,42.8,16.7,-2.842170943040401e-14,-1.8633184267859235,-1.1799105607155411,-1.7543859649122604
43,9.2,42,42.0,42.4,42.625,42.5,16.9,2.4853801169590355,-0.20639834881322372,-0.6828345373236999,-1.960784313725505
44,9.39,43,42.333333333333336,42.4,42.75,42.6,16.64,2.4060150375939315,1.9329573934836901,0.579887218045144,1.7543859649122813
45,9.55,43,42.666666666666664,42.4,42.625,42.7,16.13,5.704099821746894,3.925282234105751,1.1775846702317239,2.083333333333302
46,9.72,45,43.666666666666664,43.0,42.875,43.0,16.06,-2.941176470588246,1.9607843137254974,0.2941176470588118,5.882352941176473
47,9.89,42,43.333333333333336,43.0,42.75,42.8,16.06,-2.941176470588232,0.0,-0.29411764705882604,-1.9607843137254632
48,10.06,44,43.666666666666664,43.4,42.875,42.9,15.36,2.941176470588246,-0.9803921568627487,0.29411764705882604,1.9607843137254632
49,10.23,43,43.0,43.4,43.0,42.9,15.1,0.0,0.0,0.29411764705882604,-3.9215686274509682
50,10.4,44,43.666666666666664,43.6,43.25,43.0,15.36,2.941176470588246,1.9607843137254832,0.8823529411764781,3.9215686274509682
51,10.57,44,43.666666666666664,43.4,43.5,43.2,15.36,-2.941176470588246,0.0,0.8823529411764639,0.0
52,10.74,43,43.666666666666664,43.6,43.5,43.3,15.42,-11.764705882352956,-3.9215686274509665,-0.29411764705882604,0.0
53,10.91,40,42.333333333333336,42.8,43.125,43.1,15.36,2.941176470588246,-3.9215686274509665,-0.2941176470588118,-7.8431372549019365
54,11.08,44,42.333333333333336,43.0,43.0,43.2,15.23,11.408199643493788,1.073232323232304,0.6071746880570004,0.0
55,11.24,44,42.666666666666664,43.0,43.25,43.3,15.04,-2.852049910873461,3.925282234105751,-0.24844028520500672,2.083333333333302
56,11.41,43,43.666666666666664,42.8,43.125,43.1,14.4,-0.32679738562090677,3.025210084033617,-0.06535947712417567,5.882352941176473
57,11.59,44,43.666666666666664,43.0,43.25,43.3,13.12,-0.6944444444444287,-1.1029411764705799,0.19199346405230244,0.0
58,11.75,43,43.333333333333336,43.6,43.125,43.2,12.22,-0.3676470588235219,-0.12254901960784537,-0.036764705882333715,-2.083333333333302
59,11.92,44,43.666666666666664,43.6,43.125,43.3,12.74,0.0,0.0,0.0,1.9607843137254632
60,12.09,43,43.333333333333336,43.4,43.125,43.2,12.48,0.0,0.0,-0.2941176470588118,-1.9607843137254632
61,12.26,44,43.666666666666664,43.6,43.625,43.2,12.29,-8.82352941176471,-2.941176470588232,-0.8823529411764781,1.9607843137254632
62,12.43,40,42.333333333333336,42.8,43.125,42.9,11.84,-2.941176470588246,-3.9215686274509665,0.0,-7.8431372549019365
63,12.6,43,42.333333333333336,42.8,43.0,43.2,11.14,8.82352941176471,-0.9803921568627629,0.5882352941176521,0.0
64,12.77,43,42.0,42.6,43.0,43.1,11.07,0.0,1.9607843137254832,-0.5882352941176521,-1.960784313725505
65,12.94,43,43.0,42.6,42.875,43.0,11.14,-2.941176470588246,1.9607843137254974,-0.5882352941176521,5.882352941176473
66,13.11,42,42.666666666666664,42.2,42.75,42.9,11.26,-5.882352941176478,-2.941176470588246,-1.17647058823529,-1.960784313725505
67,13.28,41,42.0,42.4,42.375,42.6,11.2,0.0,-2.941176470588246,-1.17647058823529,-3.9215686274509682
68,13.45,42,41.666666666666664,42.2,42.25,42.5,11.39,5.882352941176478,0.0,-0.5882352941176663,-1.960784313725505
69,13.62,43,42.0,42.2,42.125,42.4,11.78,2.941176470588246,2.941176470588246,-0.29411764705884025,1.960784313725505
70,13.79,43,42.666666666666664,42.2,42.5,42.4,11.97,-2.9411764705881893,1.9607843137254974,-0.5882352941176521,3.9215686274509682
71,13.96,42,42.666666666666664,42.2,42.375,42.2,11.78,0.3676470588236498,0.0,0.39549910873444105,0.0
72,14.12,43,42.666666666666664,42.6,42.375,42.5,11.65,3.21969696969704,1.4210854715202004e-14,0.9659090909091219,0.0
73,14.29,43,42.666666666666664,42.8,42.375,42.5,11.71,0.0,0.9803921568627345,-1.4210854715202004e-14,0.0
74,14.46,43,43.0,42.8,42.5,42.5,11.65,-5.882352941176492,-0.9803921568627487,-0.5882352941176521,1.9607843137254846
75,14.63,41,42.333333333333336,42.4,42.5,42.3,11.46,-2.941176470588246,-2.941176470588246,-0.5882352941176663,-3.9215686274509682
76,14.8,42,42.0,42.4,42.5,42.3,11.2,5.882352941176478,-0.9803921568627629,0.5882352941176663,-1.960784313725505
77,14.97,43,42.0,42.4,42.5,42.5,11.2,2.941176470588246,1.9607843137254974,0.8823529411764923,0.0
78,15.14,43,42.666666666666664,42.4,42.5,42.6,11.2,2.842170943040401e-14,2.9162776221599955,0.30252100840336027,3.9215686274509682
79,15.32,43,43.0,42.4,42.625,42.6,11.07,-3.025210084033631,-0.1089324618736498,-0.30252100840334606,1.8518518518518678
80,15.49,42,42.666666666666664,42.6,42.5,42.5,11.14,2.941176470588246,0.0,0.29411764705882604,-1.960784313725505
81,15.66,44,43.0,43.0,42.625,42.7,11.07,2.941176470588246,0.9803921568627487,0.5882352941176521,1.960784313725505
82,15.83,43,43.0,43.0,42.625,42.7,11.07,-9.29144385026737,-1.0732323232323324,-0.6439393939393767,0.0
83,15.99,41,42.666666666666664,42.6,42.625,42.5,11.07,-3.5873440285204765,-2.974598930481278,-0.9291443850267456,-2.0833333333333464
84,16.16,42,42.0,42.4,42.625,42.4,11.33,-2.94117647058836,-4.901960784313772,-0.5882352941176521,-3.9215686274509682
85,16.33,40,41.0,42.0,42.25,42.3,11.39,-14.705882352941131,-6.862745098039213,-1.7647058823529136,-5.882352941176535
86,16.5,37,39.666666666666664,40.6,41.5,41.8,11.33,-11.764705882352814,-9.80392156862736,-3.5294117647058414,-7.843137254901896
87,16.67,36,37.666666666666664,39.2,40.625,41.1,11.33,-2.941176470588161,-9.803921568627402,-4.117647058823536,-11.764705882352823
88,16.84,36,36.333333333333336,38.2,39.875,40.4,11.33,-3.2196969696969404,-5.949197860962613,-4.572192513369004,-7.843137254902018
89,17.0,35,35.666666666666664,36.8,38.75,39.6,11.33,-3.2196969696969973,-3.0971479500891377,-4.572192513368975,-4.166666666666693
90,17.17,35,35.333333333333336,35.8,37.75,38.9,11.33,0.0,-1.9607843137254832,-4.705882352941202,-1.9607843137254426
91,17.34,35,35.0,35.4,37.0,38.0,11.2,-5.88235294117635,-2.9411764705882177,-5.588235294117638,-1.9607843137255254
92,17.51,33,34.333333333333336,34.8,35.875,37.0,11.14,-5.882352941176336,-3.9215686274509807,-5.294117647058798,-3.921568627450927
93,17.68,33,33.666666666666664,34.2,35.0,36.2,11.14,3.2196969696969546,-2.9745989304812923,-4.857397504456358,-3.921568627451051
94,17.84,34,33.333333333333336,34.0,34.625,35.4,11.2,-2.4844028520498256,-2.023915626856791,-4.85739750445633,-2.083333333333302
95,18.01,32,33.0,33.4,34.125,34.6,11.2,-5.88235294117635,-1.9607843137254974,-3.8235294117646674,-1.9607843137254846
96,18.18,32,32.666666666666664,32.8,33.625,34.1,11.2,5.88235294117635,-0.9803921568627771,-2.0588235294117965,-1.9607843137255254
97,18.35,34,32.666666666666664,33.0,33.5,33.9,11.2,2.9411764705880614,0.9803921568627771,-1.470588235294116,0.0
98,18.52,33,33.0,33.0,33.25,33.6,11.2,-2.941176470588303,1.9607843137254974,-1.4705882352941302,1.9607843137255254
99,18.69,33,33.333333333333336,32.8,33.0,33.4,11.14,0.0,-0.12254901960785958,-1.2143493761140718,1.9607843137254846
100,18.85,33,33.0,33.0,33.0,33.2,11.07,5.704099821746965,0.8281342840166559,-0.6439393939393767,-2.0833333333333464
101,19.02,35,33.666666666666664,33.6,33.25,33.2,11.01,5.882352941176592,3.9215686274509807,0.5882352941176094,3.921568627451009
102,19.19,35,34.333333333333336,33.8,33.375,33.4,11.01,0.0,3.921568627450995,1.1764705882353041,3.921568627450969
103,19.36,35,35.0,34.2,33.75,33.6,10.94,-2.941176470588175,0.9803921568627914,0.5882352941176805,3.921568627451009
104,19.53,34,34.666666666666664,34.4,34.0,33.6,11.01,-2.941176470588175,-1.9607843137254832,0.5882352941176379,-1.9607843137254846
105,19.7,34,34.333333333333336,34.6,34.0,33.8,10.94,-2.941176470588175,-2.9411764705882177,0.8823529411764497,-1.9607843137254837
106,19.87,33,33.666666666666664,34.2,34.0,33.9,11.01,-2.941176470588161,-2.9411764705882177,-1.4210854715202004e-14,-3.921568627450969
107,20.04,33,33.333333333333336,33.8,34.0,33.8,11.01,2.6984126984126817,-1.0084033613445342,-0.03267973856209494,-1.9607843137254837
108,20.22,34,33.333333333333336,33.6,34.125,33.9,11.07,-0.32679738562086413,-1.4210854715202004e-14,0.26984126984127954,0.0
109,20.39,33,33.333333333333336,33.4,33.875,33.9,11.01,1.2789769243681803e-13,0.9803921568627629,0.29411764705884025,0.0
110,20.56,34,33.666666666666664,33.4,33.75,34.0,11.14,1.1368683772161603e-13,4.263256414560601e-14,-0.2941176470588118,1.9607843137254837
111,20.73,33,33.333333333333336,33.4,33.5,33.8,11.01,-2.941176470588161,-0.9803921568627061,-1.1764705882352757,-1.9607843137254426
112,20.9,33,33.333333333333336,33.4,33.375,33.6,10.43,-3.2196969696969404,-2.1464646464646364,-1.5363190730837744,0.0
113,21.06,32,32.666666666666664,33.0,33.125,33.3,9.54,2.484402852049797,-1.1957813428402062,-0.9659090909091077,-4.166666666666693
