Time (s)	Range (mm)	Lumens (0dB)
0.77	47	0.51
1.07	46	0.51
1.26	44	0.51
2.25	45	0.51
2.41	46	0.51
2.57	46	0.51
2.75	48	0.51
2.91	47	0.51
3.07	46	0.51
3.23	47	0.51
3.39	46	0.51
3.55	47	0.51
3.7	48	0.51
3.86	47	0.51
4.02	46	0.51
4.18	46	0.51
4.33	47	0.51
4.5	48	0.51
4.68	47	0.51
4.9	47	0.51
5.07	46	0.51
5.23	47	0.51
5.39	47	0.51
5.55	45	0.58
5.73	47	0.58
5.92	44	0.58
6.1	45	0.58
6.31	47	0.58
6.48	46	0.58
6.64	47	0.58
6.8	43	0.58
6.96	46	0.58
7.12	46	0.58
7.28	45	0.58
7.47	47	0.58
7.69	45	0.58
7.93	47	0.58
8.17	46	0.64
8.32	45	0.64
8.5	45	0.64
8.75	47	0.58
10.13	45	0.58
10.31	46	0.58
10.48	46	0.58
10.65	46	0.58
10.81	46	0.58
11.09	44	0.58
11.27	44	0.64
11.46	47	0.64
11.67	45	0.58
12.81	46	0.51
13	47	0.51
13.17	46	0.51
13.35	47	0.51
13.52	47	0.51
13.69	47	0.51
13.85	48	0.51
14.02	50	0.51
14.21	47	0.51
14.39	48	0.51
14.56	48	0.51
14.73	47	0.51
14.91	48	0.51
15.08	46	0.51
15.26	47	0.51
15.44	49	0.51
15.62	46	0.51
15.8	47	0.51
15.97	49	0.51
16.14	45	0.51
16.31	48	0.51
16.48	47	0.51
16.65	47	0.51
16.82	48	0.58
16.99	46	0.58
17.17	45	0.58
17.34	47	0.58
17.51	46	0.58
17.69	46	0.58
17.87	45	0.58
18.06	48	0.58
18.23	47	0.58
18.42	47	0.58
18.59	46	0.58
18.76	45	0.58
18.93	44	0.58
19.11	43	0.58
19.28	45	0.58
19.46	45	0.58
19.64	46	0.58
19.82	47	0.58
19.99	44	0.58
20.16	44	0.58
20.33	48	0.58
20.5	44	0.58
20.67	46	0.58
20.85	44	0.58
21.03	44	0.58
21.2	44	0.58
21.37	44	0.58
21.54	44	0.58
21.73	46	0.58
21.9	44	0.58
22.08	45	0.58
22.25	43	0.58
22.42	42	0.58
22.59	42	0.58
22.76	47	0.58
22.93	42	0.58
23.11	43	0.58
23.3	44	0.58
23.48	43	0.58
23.65	41	0.58
23.82	41	0.58
23.99	40	0.51
24.17	40	0.51
24.34	38	0.51
24.52	37	0.51
24.69	35	0.51
24.88	35	0.51
25.05	38	0.51
25.23	37	0.51
25.4	36	0.51
25.58	36	0.51
25.76	35	0.51
25.93	35	0.51
26.1	35	0.51
26.27	34	0.51
26.45	36	0.51
26.63	34	0.51
26.8	33	0.51
26.98	34	0.51
27.17	36	0.51
27.34	36	0.51
27.52	34	0.51
27.69	35	0.51
27.87	34	0.51
28.04	35	0.51
28.21	34	0.51
28.4	34	0.51
28.57	35	0.51
28.74	36	0.51
28.91	35	0.51
29.09	35	0.51
29.26	33	0.51
29.44	37	0.51
29.61	36	0.51
29.79	35	0.51
29.96	36	0.51
30.13	36	0.51
30.31	35	0.51
30.48	36	0.58
30.65	36	0.58
30.82	36	0.51
31	34	0.51
31.17	35	0.51
31.35	36	0.51
31.52	34	0.51
31.69	35	0.51
31.86	36	0.51
32.04	35	0.51
32.22	34	0.51
32.4	35	0.51
32.57	33	0.51
32.75	34	0.51
32.93	34	0.51
33.12	35	0.51
33.29	38	0.51
33.46	36	0.51
33.63	37	0.51
33.8	36	0.51
33.97	34	0.51
34.15	35	0.51
34.32	35	0.51
34.49	32	0.51
34.66	35	0.51
34.84	34	0.51
35.01	32	0.51
35.18	36	0.51
35.36	37	0.51
35.54	37	0.51
35.71	36	0.51
35.89	36	0.51
36.06	37	0.51
36.23	37	0.51
36.41	37	0.51
36.58	37	0.51
36.76	38	0.51
36.93	38	0.51
37.1	39	0.51
37.29	37	0.51
37.46	37	0.51
37.63	40	0.51
37.8	39	0.51
37.98	40	0.51
38.15	42	0.51
38.32	39	0.51
38.49	40	0.51
38.67	41	0.51
38.87	40	0.51
39.05	40	0.51
39.22	40	0.51
39.4	39	0.51
39.57	40	0.51
39.75	43	0.51
39.92	40	0.51
40.09	40	0.51
40.27	41	0.51
40.44	39	0.51
40.61	40	0.51
40.78	39	0.51
40.95	41	0.58
41.12	41	0.58
41.3	42	0.58
41.47	43	0.58
41.64	44	0.58
41.82	46	0.58
42	46	0.58
42.17	48	0.58
42.35	47	0.58
42.52	47	0.51
42.7	45	0.58
42.88	45	0.58
43.05	46	0.58
43.23	46	0.58
43.41	45	0.64
43.58	48	0.64
43.75	46	0.58
43.92	45	0.64
44.11	46	0.51
44.28	45	0.51
44.45	46	0.51
44.62	46	0.51
44.79	45	0.51
44.96	45	0.51
45.14	45	0.51
45.31	48	0.51
45.49	47	0.51
45.66	47	0.51
45.83	45	0.51
46.01	46	0.51
46.18	47	0.51
46.36	49	0.51
46.54	47	0.51
46.72	48	0.51
46.9	46	0.51
47.08	46	0.51
47.25	47	0.51
47.43	45	0.58
47.6	47	0.58
47.78	45	0.58
47.96	47	0.58
48.19	45	0.58
48.4	46	0.58
48.63	46	0.58
48.84	47	0.58
49.04	45	0.58
49.22	45	0.58
49.41	46	0.58
49.59	47	0.58
49.77	47	0.58
49.96	47	0.58
50.13	45	0.58
50.32	47	0.58
