Time (s),Range (mm),Lumens (0dB)
37.88,41,20.48
38.05,41,20.48
38.22,39,20.48
38.39,39,20.48
38.55,39,20.48
38.72,41,20.48
38.89,38,20.42
39.05,38,20.48
39.22,41,20.48
39.39,41,20.42
39.56,39,20.42
39.72,42,20.48
39.89,40,20.48
40.06,41,20.48
40.23,41,20.61
40.4,42,20.67
40.57,39,20.67
40.73,40,20.67
40.9,42,20.67
41.07,40,20.61
41.24,39,20.54
41.4,40,20.48
41.57,40,20.48
41.74,40,20.48
41.91,40,20.42
42.08,41,20.42
42.25,40,20.42
42.42,40,20.42
42.59,43,20.48
42.75,40,20.48
42.93,41,20.48
43.1,40,20.48
43.27,39,20.48
43.44,41,20.54
43.61,42,20.61
43.78,40,20.54
43.94,41,20.54
44.11,41,20.61
44.28,41,20.67
44.45,40,20.74
44.62,42,20.74
44.79,42,20.74
44.96,41,20.74
45.13,41,20.67
45.29,40,20.67
45.46,40,20.54
45.63,40,20.54
45.8,40,20.54
45.96,40,20.61
46.13,41,20.74
46.3,42,20.67
46.47,39,20.74
46.63,41,20.8
46.8,42,20.93
46.97,41,20.8
47.14,41,20.74
47.3,40,20.67
47.47,42,20.54
47.64,39,20.48
47.81,40,20.54
47.97,40,20.54
48.14,39,20.61
48.31,40,20.74
48.48,40,20.8
48.64,42,20.74
48.81,40,20.61
48.98,40,20.48
49.15,40,20.54
49.32,40,20.61
49.48,43,20.67
49.65,40,20.86
49.82,43,20.86
49.99,40,20.8
50.15,38,20.67
50.32,39,20.67
50.49,39,20.67
50.66,39,20.74
50.83,38,20.86
51.0,41,20.93
51.17,41,20.99
51.34,41,20.99
51.51,40,20.99
51.68,41,20.99
51.86,42,20.93
52.03,41,20.99
52.19,41,20.99
52.37,40,21.06
52.53,42,21.06
52.7,42,20.99
52.87,40,20.86
53.04,40,20.8
53.21,40,20.86
53.38,41,20.86
53.54,41,20.8
53.71,40,20.74
53.88,41,20.67
54.05,40,20.61
54.22,40,20.61
54.39,40,20.61
54.56,38,20.61
54.72,37,20.61
54.89,41,20.61
55.06,40,20.67
55.23,39,20.67
55.4,39,20.67
55.56,39,20.74
55.73,41,20.74
55.9,41,20.74
56.07,39,20.74
