Time (s),Range (mm),Lumens (0dB)
0.58,44,20.48
0.89,42,20.48
1.07,45,20.74
1.71,42,20.86
1.87,44,20.8
2.02,42,20.8
2.17,43,20.8
2.32,43,20.8
2.49,43,20.67
2.64,42,20.74
2.79,43,20.74
2.94,43,20.8
3.1,43,20.86
3.25,40,20.86
3.41,43,20.8
3.58,45,20.54
3.74,45,20.61
3.9,44,20.8
4.06,45,20.74
4.23,43,20.99
4.38,44,20.93
4.54,43,20.93
4.69,42,20.93
4.84,42,20.99
5.01,44,20.8
5.16,43,20.8
5.31,44,20.8
5.47,41,20.8
5.77,43,20.8
6.05,44,19.9
6.2,45,17.92
6.39,43,17.66
7.23,43,20.1
7.42,45,20.1
7.63,42,19.58
7.8,42,19.2
7.97,42,19.14
8.14,44,19.01
8.31,43,18.56
8.49,43,17.86
8.66,43,17.34
8.84,42,17.09
9.03,42,16.7
9.2,42,16.9
9.39,43,16.64
9.55,43,16.13
9.72,45,16.06
9.89,42,16.06
10.06,44,15.36
10.23,43,15.1
10.4,44,15.36
10.57,44,15.36
10.74,43,15.42
10.91,40,15.36
11.08,44,15.23
11.24,44,15.04
11.41,43,14.4
11.59,44,13.12
11.75,43,12.22
11.92,44,12.74
12.09,43,12.48
12.26,44,12.29
12.43,40,11.84
12.6,43,11.14
12.77,43,11.07
12.94,43,11.14
13.11,42,11.26
13.28,41,11.2
13.45,42,11.39
13.62,43,11.78
13.79,43,11.97
13.96,42,11.78
14.12,43,11.65
14.29,43,11.71
14.46,43,11.65
14.63,41,11.46
14.8,42,11.2
14.97,43,11.2
15.14,43,11.2
15.32,43,11.07
15.49,42,11.14
15.66,44,11.07
15.83,43,11.07
15.99,41,11.07
16.16,42,11.33
16.33,40,11.39
16.5,37,11.33
16.67,36,11.33
16.84,36,11.33
17.0,35,11.33
17.17,35,11.33
17.34,35,11.2
17.51,33,11.14
17.68,33,11.14
17.84,34,11.2
18.01,32,11.2
18.18,32,11.2
18.35,34,11.2
18.52,33,11.2
18.69,33,11.14
18.85,33,11.07
19.02,35,11.01
19.19,35,11.01
19.36,35,10.94
19.53,34,11.01
19.7,34,10.94
19.87,33,11.01
20.04,33,11.01
20.22,34,11.07
20.39,33,11.01
20.56,34,11.14
20.73,33,11.01
20.9,33,10.43
21.06,32,9.54
21.23,34,9.15
21.4,33,9.02
21.57,33,9.15
21.74,34,9.09
21.91,32,8.9
22.07,33,8.9
22.24,31,9.22
22.41,33,9.41
22.58,32,9.54
22.75,32,9.79
22.92,32,10.18
23.09,31,10.37
23.25,32,10.88
23.42,32,11.46
23.59,33,11.52
23.76,33,11.46
23.93,33,11.58
24.1,33,11.65
24.27,32,11.46
24.44,33,11.26
24.6,34,10.3
24.77,34,10.3
24.94,33,10.88
25.11,33,11.2
25.28,32,13.76
25.45,34,14.4
25.61,32,16.13
25.78,33,17.73
25.95,35,18.18
26.12,35,18.37
26.29,35,18.62
26.46,37,18.88
26.63,35,19.39
26.8,36,20.1
26.97,38,19.58
27.13,35,18.94
27.3,36,17.41
27.47,35,16.19
27.64,36,16.0
27.81,38,15.68
27.98,38,15.81
28.14,37,17.54
28.31,37,18.94
28.48,36,19.2
28.65,38,19.07
28.81,38,18.94
28.98,38,18.75
29.15,35,18.94
29.32,37,19.46
29.48,38,19.71
29.65,36,19.9
29.82,38,20.03
29.99,38,20.03
30.15,38,20.1
30.32,37,20.03
30.49,39,20.03
30.66,36,19.97
30.83,37,20.03
31.0,39,20.03
31.16,40,20.03
31.33,39,20.03
31.5,39,20.16
31.67,39,20.1
31.83,38,20.16
32.0,37,20.29
32.17,39,20.42
32.34,40,20.54
32.51,40,20.54
32.68,40,20.54
32.85,38,20.48
33.01,39,20.54
33.18,40,20.42
33.35,39,20.29
33.52,38,20.42
33.69,38,20.48
33.85,38,20.35
34.02,39,20.29
34.19,38,20.42
34.36,39,20.54
34.53,38,20.42
34.69,39,20.48
34.86,39,20.42
35.03,37,20.48
35.2,39,20.61
35.36,39,20.48
35.53,39,20.42
35.7,41,20.42
35.87,39,20.35
36.03,40,20.48
36.2,38,20.48
36.37,41,20.67
36.54,41,20.42
36.71,39,20.54
36.88,39,20.35
37.04,38,20.54
37.21,40,20.48
37.38,38,20.61
37.55,42,20.67
37.72,40,20.61
