Time (s)	Range (mm)	Lumens (0dB)
52.08	41	11.65
52.24	43	11.84
52.39	42	11.65
52.57	40	11.65
52.72	42	11.71
52.88	44	11.78
53.03	40	11.58
53.19	42	11.65
53.37	40	11.65
53.52	41	11.71
53.68	41	11.58
53.84	40	11.58
54.00	43	11.65
54.17	41	11.26
54.33	41	10.82
54.49	40	10.50
54.64	39	10.18
54.80	42	10.30
54.98	43	10.18
55.13	39	9.34
55.29	42	8.26
55.45	40	8.06
55.60	41	8.06
55.78	40	7.55
55.93	42	7.17
56.09	38	7.10
56.25	40	6.78
56.40	41	6.78
56.58	40	6.91
56.73	43	6.98
56.89	39	6.85
57.05	41	6.85
57.20	39	6.85
57.38	40	7.04
57.53	42	7.42
57.69	43	7.55
57.85	40	7.87
58.00	42	8.26
58.17	41	8.38
58.33	41	8.38
58.48	41	8.19
58.64	42	8.13
58.80	41	8.19
58.96	43	8.32
59.11	40	8.13
59.27	41	8.06
59.43	41	8.06
59.58	41	8.13
59.76	40	8.13
59.91	43	8.19
60.07	40	8.13
60.23	39	8.13
60.39	41	8.19
60.56	42	8.26
60.72	40	8.51
60.88	41	8.32
61.03	41	7.81
61.19	41	7.68
61.36	38	7.55
61.52	43	7.62
61.67	40	7.81
61.83	42	7.68
61.99	41	7.55
62.16	43	7.04
62.32	41	6.34
62.47	41	6.85
62.63	42	6.98
62.79	42	7.17
62.96	41	7.23
63.12	43	7.17
63.27	42	7.23
63.43	43	7.17
63.59	41	7.10
63.76	40	6.85
63.92	38	6.66
64.07	36	6.66
64.23	38	6.66
64.39	37	6.66
64.56	36	6.59
64.72	36	6.59
64.87	33	6.66
65.03	34	6.78
65.19	35	6.72
65.36	35	6.66
65.52	35	6.66
65.67	33	6.66
65.83	34	6.59
65.99	34	6.53
66.16	35	6.53
66.32	34	6.46
66.48	33	6.40
66.63	33	6.40
66.79	34	6.34
66.97	32	6.08
67.12	32	6.02
67.28	35	5.95
67.44	34	5.82
67.59	32	5.70
67.75	33	5.63
67.91	34	5.57
68.07	33	5.38
68.23	33	5.25
68.38	35	5.12
68.55	32	5.18
68.71	33	5.31
68.87	33	5.70
69.03	33	5.89
69.18	34	6.02
69.35	33	6.08
69.51	35	6.14
69.67	33	6.14
69.82	34	6.14
69.98	31	6.08
70.15	33	6.08
70.32	33	6.14
70.48	35	6.34
70.63	35	6.59
70.79	33	6.08
70.96	32	6.21
71.12	30	6.59
71.29	35	6.85
71.45	33	6.85
71.62	34	6.59
71.78	33	6.27
71.94	33	6.27
72.09	33	6.40
72.25	32	6.34
72.41	33	6.46
72.58	34	6.66
72.73	33	6.85
72.89	33	6.98
73.04	33	7.10
73.20	33	7.36
73.37	33	7.49
73.53	33	7.42
73.70	34	7.42
73.88	34	7.49
74.03	33	7.42
74.21	33	7.49
74.37	34	7.49
74.53	34	7.42
74.68	34	7.36
74.85	32	7.36
75.01	33	7.36
75.17	33	7.30
75.33	32	7.30
75.48	33	7.17
75.64	34	7.10
75.80	32	7.17
75.96	32	7.17
76.11	34	7.30
76.27	34	7.30
76.43	33	7.23
76.59	33	7.23
76.74	33	7.17
76.91	32	7.23
77.07	34	7.10
77.23	36	7.04
77.39	33	7.04
77.55	33	7.04
77.70	34	6.98
77.86	35	7.10
78.03	35	7.10
78.19	36	7.23
78.36	36	7.49
78.52	36	7.55
78.67	35	7.62
78.84	36	7.81
79.01	38	7.81
79.17	37	7.81
79.34	37	7.81
79.50	37	7.81
79.66	37	7.81
79.83	36	7.74
80.00	37	7.81
80.17	37	7.87
80.34	38	7.87
80.52	37	7.87
80.69	39	7.87
80.86	39	7.94
81.03	38	7.94
81.20	37	7.94
81.37	38	7.87
81.52	38	7.94
81.68	38	7.94
81.83	38	7.94
81.99	39	7.94
82.16	36	7.87
82.32	39	7.94
82.48	37	7.94
82.64	36	8.00
82.80	39	8.00
82.97	35	8.13
83.13	39	8.13
83.29	37	8.19
83.45	37	8.26
83.61	38	8.32
83.78	39	8.38
83.94	37	8.32
84.10	38	8.32
84.26	39	8.26
84.42	38	8.26
84.59	38	8.26
84.75	38	8.26
84.91	37	8.19
85.07	39	8.19
85.23	37	8.19
85.40	37	8.19
85.56	39	8.26
85.72	37	8.26
85.88	39	8.26
86.04	37	8.26
86.21	37	8.26
86.37	38	8.26
86.52	37	8.32
86.69	37	8.26
86.85	38	8.32
87.01	40	8.32
87.17	36	8.26
87.33	39	8.19
87.49	34	8.19
87.65	37	8.26
87.82	38	8.26
87.98	40	8.26
88.14	38	8.26
88.30	38	8.26
88.46	40	8.26
88.63	38	8.06
88.79	39	8.19
88.95	38	8.19
89.11	37	8.19
89.27	40	8.13
89.43	37	8.32
89.59	40	8.70
89.75	39	8.13
89.90	39	8.58
90.06	37	9.54
90.23	38	11.20
90.39	39	12.54
90.55	37	13.25
90.70	39	13.57
90.86	42	13.18
91.03	41	11.90
91.19	40	11.58
91.34	42	12.54
91.50	41	13.25
91.66	43	13.95
91.83	43	14.21
91.99	44	14.34
92.14	44	14.27
92.30	45	14.34
92.46	44	14.08
92.63	47	13.76
92.79	43	13.76
92.95	42	14.46
93.10	43	13.95
93.26	44	14.46
93.44	45	14.27
93.59	42	14.34
93.75	47	14.14
93.91	43	15.04
94.06	45	14.34
94.24	45	12.93
94.39	46	12.93
94.55	45	12.86
94.71	45	12.80
94.87	42	12.93
95.05	45	12.99
95.26	42	13.12
95.46	44	13.18
95.65	42	13.31
95.87	41	13.38
96.08	43	13.38
96.28	44	13.38
96.49	43	13.38
96.65	42	13.38
96.81	45	13.38
96.97	45	13.38
97.13	45	13.38
97.28	44	13.38
97.44	43	13.38
97.60	43	13.38
