Time (s),Range (mm),Lumens (0dB)
51.94,43,19.9
52.1,40,19.9
52.26,42,19.9
52.42,44,19.9
52.57,43,19.9
52.74,43,19.9
52.9,41,19.9
53.06,41,19.9
53.22,44,19.9
53.37,43,19.9
53.54,42,19.9
53.71,43,19.9
53.87,43,19.9
54.03,42,19.9
54.18,43,19.9
54.35,42,19.9
54.51,42,19.9
54.67,43,19.9
54.83,42,19.9
55.0,42,19.97
55.2,43,19.97
55.36,42,19.97
55.52,42,20.03
55.69,42,20.03
55.86,41,20.03
56.02,42,20.03
56.18,44,19.97
56.34,41,19.97
56.52,41,19.97
56.67,41,20.03
56.83,41,20.1
