Time (s)	Range (mm)	Lumens (0dB)
0.75		44		0.51
1.04		46		0.51
1.26		47		0.51
2.48		45		0.51
2.65		46		0.51
2.81		43		0.51
2.97		47		0.51
3.13		44		0.51
3.28		46		0.51
3.45		45		0.51
3.60		47		0.51
3.76		47		0.45
3.92		44		0.51
4.08		44		0.51
4.23		45		0.51
4.39		46		0.51
4.55		47		0.51
4.70		45		0.51
4.86		46		0.45
5.02		44		0.51
5.17		43		0.51
5.33		45		0.51
5.49		45		0.45
5.67		46		0.51
5.83		47		0.51
5.99		45		0.51
6.15		45		0.51
6.31		47		0.51
6.48		44		0.51
6.67		45		0.51
6.84		46		0.51
7.01		47		0.51
7.19		47		0.45
7.36		45		0.51
7.52		46		0.51
7.68		46		0.51
7.84		43		0.51
8.01		46		0.51
8.17		45		0.51
8.33		47		0.51
8.49		45		0.51
8.65		47		0.51
8.82		48		0.51
9.05		47		0.51
9.25		48		0.51
9.42		47		0.51
9.60		45		0.51
9.76		45		0.51
9.93		46		0.51
10.12		47		0.51
10.30		45		0.51
10.46		44		0.51
10.63		45		0.51
10.79		47		0.51
10.96		44		0.51
11.13		44		0.51
11.30		46		0.51
11.47		46		0.51
11.67		46		0.51
12.80		45		0.51
13.00		46		0.51
13.18		47		0.51
13.37		46		0.45
13.56		45		0.51
13.74		46		0.51
13.93		46		0.51
14.11		48		0.51
14.29		44		0.51
14.50		45		0.51
14.68		47		0.45
14.86		46		0.51
15.05		47		0.45
15.24		44		0.51
15.42		47		0.51
15.60		46		0.51
15.79		45		0.51
16.00		44		0.51
16.20		46		0.45
16.39		44		0.51
16.58		47		0.51
16.78		47		0.51
16.97		48		0.51
17.15		45		0.51
17.34		47		0.51
17.53		47		0.45
17.71		48		0.51
17.91		47		0.51
18.10		45		0.51
18.31		50		0.45
18.50		48		0.51
18.69		46		0.45
18.87		47		0.51
19.06		46		0.51
19.24		46		0.51
19.43		46		0.51
19.62		45		0.51
19.80		45		0.51
19.99		48		0.51
20.18		45		0.51
20.36		45		0.51
20.56		44		0.51
20.74		46		0.51
20.92		45		0.51
21.11		45		0.51
21.33		46		0.51
21.51		44		0.51
21.69		47		0.51
21.88		46		0.51
22.07		47		0.51
22.25		47		0.45
22.43		46		0.51
22.61		44		0.51
22.79		45		0.51
22.99		47		0.51
23.17		46		0.51
23.36		46		0.51
23.53		47		0.51
23.72		47		0.51
23.91		46		0.51
24.09		46		0.51
24.27		47		0.45
24.48		46		0.51
24.67		46		0.45
24.85		48		0.45
25.03		46		0.51
25.24		44		0.51
25.42		44		0.51
25.60		45		0.51
25.78		45		0.51
25.97		46		0.45
26.15		47		0.45
26.34		45		0.45
26.52		46		0.51
26.71		44		0.51
26.91		46		0.45
27.09		46		0.51
27.28		45		0.51
27.47		47		0.51
27.67		45		0.51
27.85		44		0.51
28.04		46		0.51
28.24		45		0.51
28.42		46		0.51
28.61		44		0.51
28.79		45		0.45
28.97		44		0.51
29.18		43		0.45
29.36		45		0.51
29.55		46		0.51
29.74		46		0.51
29.92		46		0.51
30.14		46		0.51
30.32		43		0.51
30.52		45		0.51
30.70		44		0.51
30.89		46		0.51
31.07		45		0.51
31.25		45		0.51
31.43		46		0.51
31.62		44		0.51
31.80		43		0.51
32.00		41		0.51
32.19		39		0.51
32.38		39		0.51
32.56		37		0.45
32.74		38		0.51
32.93		38		0.45
33.12		35		0.45
33.30		37		0.45
33.49		36		0.45
33.67		39		0.51
33.86		35		0.51
34.07		34		0.45
34.26		36		0.45
34.44		34		0.45
34.62		35		0.45
34.81		34		0.45
35.00		36		0.51
35.18		35		0.51
35.36		34		0.51
35.56		34		0.51
35.74		35		0.51
35.94		33		0.51
36.12		36		0.51
36.33		35		0.51
36.53		34		0.51
36.71		35		0.51
36.89		34		0.51
37.07		32		0.51
37.29		34		0.51
37.47		34		0.58
37.65		34		0.51
37.84		34		0.51
38.02		36		0.51
38.21		33		0.51
38.39		34		0.51
38.57		35		0.51
38.78		33		0.51
38.97		34		0.51
39.15		36		0.51
39.34		34		0.51
39.54		35		0.51
39.72		34		0.51
39.91		34		0.51
40.11		35		0.51
40.29		37		0.51
40.48		35		0.51
40.66		35		0.51
40.85		34		0.51
41.03		35		0.51
41.22		36		0.51
41.41		34		0.51
41.60		35		0.51
41.78		36		0.51
41.96		37		0.51
42.15		37		0.51
42.33		38		0.51
42.52		40		0.51
42.70		39		0.51
42.89		38		0.51
43.07		40		0.51
43.26		39		0.51
43.47		39		0.51
43.67		40		0.51
43.85		40		0.51
44.04		42		0.51
44.25		43		0.51
44.44		41		0.51
44.63		41		0.51
44.81		44		0.51
45.02		41		0.51
45.20		42		0.58
45.38		42		0.51
45.56		42		0.51
45.75		44		0.58
45.93		45		0.58
46.11		46		0.51
46.30		43		0.51
46.48		48		0.51
46.67		45		0.51
46.85		47		0.51
47.02		44		0.51
47.21		46		0.58
47.39		47		0.58
47.58		46		0.58
47.78		47		0.51
47.98		47		0.51
48.17		48		0.51
48.36		48		0.51
48.54		48		0.51
48.72		48		0.51
48.91		48		0.51
49.09		46		0.51
49.28		48		0.51
49.50		49		0.58
49.70		46		0.58
49.88		49		0.58
50.06		49		0.58
50.26		47		0.58
50.45		46		0.51
50.63		48		0.51
50.81		46		0.51
51.00		47		0.51
51.18		47		0.58
51.37		48		0.58
51.56		48		0.58
51.75		47		0.58
51.94		48		0.64
52.13		48		0.64
52.33		46		0.64
52.53		49		0.64
52.72		48		0.64
52.91		45		0.64
53.11		47		0.64
53.32		47		0.64
53.50		47		0.64
53.69		47		0.64
53.88		46		0.64
54.08		48		0.64
54.27		48		0.64
54.45		48		0.64
54.64		48		0.64
54.82		47		0.64
55.01		47		0.64
55.19		47		0.64
55.38		47		0.64
