Time (s)	Range (mm)	Lumens (0dB)
0.59	46	13.18
0.89	45	13.18
1.07	46	13.06
1.71	46	12.54
1.87	46	12.42
2.03	47	12.29
2.18	47	12.03
2.34	46	11.84
2.50	49	11.78
2.66	45	11.78
2.81	48	11.78
2.97	47	11.84
3.13	46	11.97
3.30	46	12.10
3.45	44	12.22
3.61	45	12.42
3.77	45	12.61
3.93	42	12.80
4.09	46	12.99
4.25	45	13.12
4.41	45	13.25
4.57	44	13.31
4.73	45	13.31
4.89	44	13.44
5.05	43	13.50
5.21	46	13.63
5.37	44	13.63
5.53	44	13.63
5.70	42	13.57
5.86	46	13.57
6.01	46	13.57
6.17	45	13.57
6.32	47	13.57
6.49	44	13.57
6.64	47	13.57
6.80	45	13.63
6.95	45	13.76
7.10	47	13.82
7.28	45	13.76
7.44	45	13.82
7.60	45	13.95
7.76	46	14.85
7.91	44	15.42
8.09	44	15.10
8.24	46	14.98
8.40	46	14.72
8.56	45	15.62
8.72	45	14.85
8.89	43	14.53
9.05	44	14.27
9.21	43	14.14
9.36	42	13.95
9.52	43	14.02
9.69	43	13.95
9.84	45	14.02
10.00	44	13.82
10.16	41	13.76
10.32	45	13.95
10.48	44	14.21
10.64	43	14.08
10.80	43	14.02
10.96	41	14.46
11.12	41	12.29
11.28	42	11.39
11.45	43	11.07
11.61	43	10.82
11.77	44	10.56
11.93	42	11.07
12.09	43	11.58
12.26	44	11.26
12.41	40	10.50
12.57	41	10.62
12.73	41	10.37
12.88	40	10.18
13.06	41	10.11
13.22	40	9.98
13.37	41	9.98
13.53	43	10.43
13.68	39	10.69
13.86	40	10.37
14.02	40	9.73
14.18	42	9.79
14.33	40	10.30
14.49	41	10.24
14.66	39	9.86
14.82	40	9.73
14.97	40	9.98
15.13	40	10.05
15.29	38	10.24
15.46	42	10.30
15.62	39	10.43
15.77	41	10.56
15.93	40	10.56
16.09	40	10.50
16.26	38	10.37
16.41	41	10.24
16.57	38	10.24
16.73	41	10.18
16.89	40	10.11
17.06	42	9.98
17.22	41	9.79
17.37	40	9.66
17.53	39	9.54
17.69	41	9.54
17.85	40	9.47
18.01	41	9.41
18.17	41	9.47
18.32	40	9.34
18.48	38	9.34
18.64	40	9.34
18.79	41	9.34
18.95	38	9.28
19.11	37	9.22
19.26	38	9.15
19.43	36	9.09
19.59	36	9.02
19.75	36	8.96
19.90	33	8.90
20.06	34	8.90
20.23	34	8.83
20.39	34	8.77
20.54	33	8.70
20.70	33	8.70
20.86	32	8.70
21.03	36	8.70
21.19	34	8.70
21.34	32	8.70
21.50	32	8.70
21.66	34	8.64
21.83	33	8.70
21.99	33	8.70
22.14	33	8.64
22.30	34	8.64
22.46	33	8.70
22.63	32	8.64
22.81	31	8.64
22.97	30	8.64
23.12	34	8.64
23.28	34	8.64
23.45	35	8.70
23.62	34	8.70
23.78	31	8.64
23.94	34	8.64
24.10	32	8.64
24.26	33	8.64
24.42	33	8.64
24.58	31	8.64
24.74	34	8.58
24.90	34	8.45
25.06	32	8.45
25.21	33	8.45
25.37	32	8.45
25.53	30	8.51
25.68	32	8.64
25.85	33	8.70
26.01	33	8.77
26.17	34	8.83
26.35	32	8.83
26.53	34	8.90
26.69	34	8.90
26.86	35	8.83
27.04	31	8.77
27.21	33	8.77
27.37	31	8.83
27.52	32	8.90
27.68	33	8.90
27.86	34	8.83
28.02	31	8.83
28.20	33	8.83
28.36	32	8.96
28.51	32	8.96
28.69	33	8.83
28.85	33	8.83
29.02	34	8.64
29.18	33	8.58
29.36	32	8.58
29.52	35	8.58
29.69	32	8.45
29.85	33	8.38
30.01	34	8.26
30.18	32	8.13
30.34	36	8.06
30.51	34	8.00
30.67	32	7.94
30.83	33	7.94
30.99	34	7.87
31.15	33	7.81
31.32	35	7.81
31.49	37	7.81
31.65	36	7.81
31.83	36	7.87
32.00	38	7.94
32.16	38	7.87
32.34	36	7.87
32.51	37	7.94
32.67	37	8.00
32.84	38	7.94
33.01	36	8.00
33.17	40	8.00
33.33	38	8.00
33.48	39	7.94
33.64	37	7.94
33.81	39	7.94
33.97	39	7.94
34.12	39	8.06
34.28	39	8.00
34.43	38	8.00
34.60	39	8.06
34.76	36	8.06
34.92	39	8.06
35.08	39	8.06
35.23	39	8.00
35.40	40	8.00
35.55	37	8.00
35.73	39	8.06
35.89	39	8.06
36.06	38	8.06
36.23	41	8.06
36.39	40	8.00
36.56	41	8.06
36.73	41	8.06
36.90	40	7.87
37.09	39	7.55
37.24	40	7.23
37.40	41	7.10
37.56	42	7.10
37.72	37	7.36
37.89	38	7.94
38.05	38	8.13
38.21	42	8.70
38.36	41	9.41
38.54	42	10.50
38.71	43	12.86
38.87	43	14.40
39.04	42	14.14
39.20	44	14.34
39.35	46	14.91
39.53	44	14.72
39.68	44	14.21
39.84	45	13.31
40.00	46	13.31
40.15	44	13.25
40.33	44	13.38
40.48	44	14.27
40.64	44	15.10
40.80	46	15.74
40.96	44	16.45
41.14	43	16.00
41.30	45	14.98
41.47	44	15.94
41.66	44	15.94
41.82	45	16.00
41.97	47	16.00
42.13	44	16.06
42.34	45	16.06
42.54	44	16.06
42.75	45	16.13
42.96	46	16.06
43.13	44	16.13
43.31	44	16.19
43.47	43	16.19
43.63	46	16.26
