Time (s),Range (mm),Lumens (0dB)
0.6,40,16.06
0.93,42,16.0
1.11,44,15.81
1.75,45,15.42
1.92,44,15.42
2.07,42,15.42
2.22,45,15.49
2.37,45,15.55
2.53,43,15.55
2.68,43,15.62
2.83,44,15.68
2.99,43,15.68
3.16,43,15.68
3.31,44,15.74
3.46,41,15.74
3.62,41,15.74
3.77,45,15.74
3.94,44,15.68
4.09,45,15.68
4.25,43,15.62
4.4,44,15.62
4.56,45,15.55
4.72,43,15.55
4.87,45,15.55
5.02,45,15.49
5.18,43,15.49
5.33,42,15.49
5.49,43,15.49
5.66,43,15.49
5.82,43,15.49
5.97,43,15.55
6.12,44,15.55
6.28,44,15.55
6.44,41,15.62
6.6,44,15.62
6.75,43,15.68
6.9,43,15.68
7.06,44,15.68
7.21,44,15.68
7.38,44,15.68
7.55,43,15.68
7.71,42,15.68
7.87,44,15.62
8.03,44,15.62
8.2,43,15.62
8.35,44,15.62
8.51,44,15.62
8.67,45,15.62
8.83,43,15.68
9.0,45,15.68
9.16,45,15.62
9.32,43,15.55
9.48,43,15.49
9.64,45,15.49
9.81,45,15.49
9.97,45,15.55
10.13,45,15.55
10.28,46,15.55
10.44,45,15.55
10.62,43,15.55
10.77,44,15.49
10.93,42,15.42
11.09,43,15.36
11.25,44,15.36
11.42,43,15.23
11.58,44,15.17
11.74,45,15.17
11.9,45,15.17
12.06,44,15.23
12.23,45,15.23
12.39,44,15.23
12.55,44,15.23
12.71,44,15.3
12.87,45,15.3
13.04,46,15.3
13.2,42,15.23
13.36,45,15.23
13.51,43,15.23
13.67,47,15.23
13.84,45,15.23
14.0,44,15.23
14.16,43,15.23
14.32,45,15.23
14.48,43,15.23
14.65,45,15.1
14.81,43,15.1
14.97,46,14.98
15.13,44,14.85
15.28,44,14.72
15.46,44,14.66
15.61,42,14.59
15.77,44,14.59
15.93,44,14.53
16.09,42,14.53
16.26,43,14.46
16.42,44,14.4
16.57,45,14.21
16.73,43,14.02
16.89,45,14.08
17.05,45,14.21
17.21,44,14.21
17.37,43,14.21
17.52,46,13.89
17.68,43,13.44
17.86,43,13.18
18.01,45,12.99
18.17,44,12.93
18.32,43,13.06
18.48,44,13.5
18.65,43,13.95
18.81,44,14.08
18.97,44,14.27
19.12,44,14.46
19.28,44,14.66
19.45,44,14.85
19.6,42,15.04
19.76,44,15.1
19.91,44,15.17
20.07,43,15.36
20.23,43,15.55
20.39,45,15.49
20.54,44,15.42
20.7,42,15.42
20.86,44,16.19
21.01,43,18.11
21.17,45,18.62
21.32,43,18.11
21.48,44,17.6
21.64,47,17.6
21.83,43,16.58
21.98,44,15.36
22.14,44,15.04
22.3,45,14.98
22.45,44,14.78
22.61,43,14.02
