Time (s),Range (mm),Lumens (0dB)
22.77,45,13.76
22.93,44,13.12
23.08,44,12.35
23.24,42,12.1
23.4,43,11.58
23.56,44,11.58
23.72,43,11.58
23.88,43,9.6
24.06,41,9.92
24.21,45,10.3
24.37,41,9.98
24.53,43,9.79
24.69,43,10.24
24.87,41,10.56
25.03,44,10.82
25.19,43,10.94
25.34,42,11.39
25.5,42,11.33
25.67,42,11.46
25.83,42,11.33
25.98,41,11.52
26.14,41,11.39
26.3,43,11.58
26.47,43,11.58
26.63,42,11.46
26.78,41,11.58
26.94,43,11.58
27.1,41,11.46
27.27,42,11.46
27.43,40,11.58
27.59,41,11.58
27.74,39,11.52
27.9,40,11.58
28.07,40,11.58
28.23,40,11.71
28.38,41,11.58
28.54,38,11.52
28.7,43,11.58
28.87,40,11.58
29.03,41,11.58
29.19,42,11.52
29.34,41,11.26
29.5,39,11.01
29.68,39,10.82
29.84,41,10.75
30.0,40,10.69
30.15,41,10.75
30.31,42,10.69
30.48,42,10.75
30.64,41,10.62
30.8,40,10.56
30.96,43,10.5
31.11,41,10.37
31.29,41,10.5
31.44,39,10.69
31.6,38,10.82
31.76,37,10.82
31.92,38,10.94
32.1,34,10.88
32.26,34,10.88
32.41,34,10.82
32.57,34,10.69
32.73,34,10.62
32.9,36,10.62
33.06,35,10.56
33.21,35,10.5
33.37,32,10.43
33.53,32,10.37
33.69,33,10.3
33.84,33,10.3
34.0,33,10.24
34.16,33,10.24
34.31,35,10.18
34.48,32,10.11
34.64,32,10.05
34.8,34,10.11
34.95,32,10.05
35.11,34,9.98
35.28,33,9.98
35.43,31,9.98
35.59,32,9.92
35.75,33,9.92
35.91,33,9.98
36.07,34,9.92
36.22,34,9.92
36.38,33,9.92
36.54,34,9.86
36.71,34,9.6
36.89,31,9.02
37.05,32,8.77
37.2,32,8.58
37.37,32,8.51
37.52,33,8.7
37.68,30,8.96
37.84,31,9.02
38.0,34,9.15
38.15,33,9.22
38.31,33,9.15
38.47,34,9.15
38.63,32,9.22
38.8,33,9.41
38.96,31,9.54
39.12,32,9.54
39.28,34,9.6
39.44,32,9.66
39.6,33,9.66
39.76,35,9.47
39.92,33,9.41
40.08,33,9.41
40.23,30,9.41
40.39,33,9.34
40.57,32,9.34
40.73,33,9.41
40.88,32,9.34
41.04,32,9.54
41.2,31,9.66
41.38,35,9.79
41.54,32,9.73
41.7,33,9.73
41.86,31,9.73
42.02,32,9.73
42.19,32,9.73
42.35,34,9.73
42.51,33,9.6
42.67,33,9.47
42.82,35,9.22
43.0,35,9.15
43.16,36,8.96
43.32,35,8.96
43.48,36,8.96
43.64,35,8.96
43.81,36,8.96
43.97,34,9.02
44.12,38,9.15
44.28,38,9.09
44.44,37,9.28
44.61,39,9.28
44.77,37,9.22
44.93,38,9.28
45.08,38,9.41
45.24,38,9.54
45.41,38,9.6
45.57,38,9.79
45.73,39,9.92
45.89,40,9.98
46.04,39,9.98
46.22,38,9.98
46.38,38,9.98
46.53,37,10.05
46.69,39,9.98
46.85,41,9.92
47.02,35,9.79
47.18,36,9.86
47.33,39,9.86
47.49,39,9.79
47.65,38,9.73
47.82,37,9.66
47.98,38,9.66
48.14,40,9.6
48.3,41,9.73
48.45,39,9.66
48.63,41,9.73
48.79,41,9.66
48.95,40,9.66
49.11,39,9.66
49.27,39,9.73
49.44,41,9.73
49.6,39,9.79
49.76,42,9.79
49.92,41,9.6
50.07,39,9.47
50.25,39,9.47
50.4,40,9.66
50.56,40,9.54
50.72,40,9.54
50.87,41,11.9
51.05,42,13.38
51.2,42,15.23
51.36,41,15.68
51.52,43,16.32
51.68,44,16.19
51.85,44,15.74
52.01,44,15.36
52.16,43,15.36
52.32,45,15.23
52.48,44,15.68
52.65,43,16.96
52.81,44,17.86
52.97,43,18.05
53.13,44,18.56
53.29,43,18.62
53.47,45,17.98
53.63,44,17.92
53.8,42,18.43
53.97,44,18.43
54.14,46,16.64
54.31,46,16.51
54.47,44,16.45
54.64,46,16.58
54.8,44,16.77
54.97,43,16.7
55.14,45,16.58
55.29,43,16.51
55.45,44,16.58
55.61,46,16.64
55.77,44,16.77
55.93,45,16.83
56.09,44,16.83
56.25,45,16.83
56.41,46,16.96
