Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.58,44,,,,,20.48,,,,,
0.89,42,,,,,20.48,,,,,
1.07,45,43.666666666666664,,,,20.74,,,,,
1.71,42,43.0,,,,20.86,3.1249999999999716,,-1.0416666666666632,,
1.87,44,43.666666666666664,43.4,,,20.8,-1.4247311827957105,,4.166666666666648,,
2.02,42,42.666666666666664,43.0,,,20.8,-2.2222222222222,,-6.6666666666666705,-0.17398446833931303,-1.1805555555555618
2.17,43,43.0,43.2,,,20.8,0.0,,2.222222222222239,-1.2156511350059702,-0.0925925925925944
2.32,43,42.666666666666664,42.8,43.125,,20.8,-0.2614379084967311,,-2.222222222222239,-0.8278867102396438,-2.2222222222222237
2.49,43,43.0,43.0,43.0,,20.67,-0.2614379084967595,,1.9607843137254999,-0.17429193899783021,0.6535947712418334
2.64,42,42.666666666666664,42.6,43.0,43.0,20.74,-1.1111111111111427,,-2.222222222222239,-0.5446623093682111,-0.8278867102396594
2.79,43,42.666666666666664,42.8,42.75,42.9,20.74,0.0,0.0,0.0,-0.45751633986930074,-0.08714596949891303
2.94,43,42.666666666666664,42.8,42.875,43.0,20.8,1.008064516129025,-0.26075268817203323,0.0,-0.034348864994039253,-0.7407407407407464
3.1,43,43.0,42.8,42.75,42.8,20.86,-2.4327956989247355,-1.2930107526881898,2.0833333333333464,-0.47491039426523685,0.6944444444444487
3.25,40,42.0,42.2,42.5,42.6,20.86,-3.4408602150537604,-0.9905913978494709,-6.6666666666666705,-1.621863799283157,-1.5277777777777748
3.41,43,42.0,42.4,42.5,42.5,20.8,1.9013666072489457,0.5336452762923187,0.0,-1.3240964355765168,-1.5277777777777748
3.58,45,42.666666666666664,42.8,42.75,42.8,20.54,7.267528223410579,1.4995543672014264,3.9215686274509682,1.9093448718685881,-0.9150326797385674
3.74,45,44.333333333333336,43.2,43.0,43.0,20.61,6.249999999999972,0.9375000000000284,10.416666666666687,5.1396316102198325,4.779411764705885
3.9,44,44.666666666666664,43.4,43.25,43.1,20.8,1.0416666666666288,0.9374999999999716,2.0833333333333077,4.85306496335906,5.473856209150321
4.06,45,44.666666666666664,44.4,43.5,43.3,20.74,-1.9013666072489315,0.9291443850267314,0.0,1.7967666864725562,4.166666666666665
4.23,43,44.0,44.4,43.5,43.4,20.99,-1.8382352941176237,0.6299019607843377,-3.921568627450948,-0.8993117448999755,-0.6127450980392132
4.38,44,44.0,44.2,43.625,43.5,20.93,-2.01612903225805,0.34408602150537604,0.0,-1.9185769778748683,-1.307189542483649
4.54,43,43.333333333333336,43.8,44.0,43.5,20.93,-3.163082437275989,-0.34408602150537604,-4.166666666666648,-2.339148921217221,-2.696078431372532
4.69,42,43.0,43.4,43.875,43.4,20.93,-3.3333333333333144,0.33333333333337123,-2.2222222222222325,-2.8375149342891177,-2.1296296296296267
4.84,42,42.333333333333336,42.8,43.5,43.6,20.99,-1.4419934640523024,0.9840686274510091,-4.444444444444445,-2.6461364115538686,-3.6111111111111085
5.01,44,42.666666666666664,43.0,43.375,43.7,20.8,2.099673202614383,-0.43259803921569073,1.9607843137254632,-0.8918845315904113,-1.5686274509804043
5.16,43,43.0,42.8,43.25,43.5,20.8,3.3333333333333712,-0.9999999999999716,2.2222222222222325,1.3303376906318174,-0.087145969498916
5.31,44,43.666666666666664,43.0,43.125,43.4,20.8,-0.7302867383512535,-1.2513440860215326,4.444444444444445,1.5675732658655004,2.875816993464047
5.47,41,42.666666666666664,42.8,42.875,43.1,20.8,-4.076086956521749,-1.454710144927553,-6.249999999999995,-0.49101345384654377,0.13888888888889417
5.77,43,42.666666666666664,43.0,42.75,42.9,20.8,0.0,-0.13711001642036535,0.0,-1.6021245649576674,-0.60185185185185
6.05,44,42.666666666666664,43.0,42.875,43.0,19.9,5.788113695090459,0.5586932447397714,0.0,0.5706755795229034,-2.0833333333333317
6.2,45,44.0,43.4,43.25,43.1,17.92,4.967320261437877,0.37254901960784537,8.888888888888884,3.585144652176112,2.9629629629629615
