Time (s)	Range (mm)	Lumens (0dB)
0.60	43	18.24
0.91	43	18.24
1.09	44	18.18
1.73	43	18.24
1.89	43	18.24
2.04	43	18.24
2.20	44	18.18
2.35	43	18.18
2.50	43	18.18
2.66	44	18.11
2.81	41	18.11
2.96	42	18.05
3.13	41	18.05
3.28	41	18.05
3.44	43	17.98
3.59	42	17.98
3.74	43	17.98
3.91	44	18.05
4.07	44	18.05
4.22	41	18.05
4.37	42	18.18
4.53	44	18.30
4.69	41	18.43
4.84	43	18.50
5.00	43	18.56
5.15	44	18.62
5.31	42	18.62
5.46	44	18.69
5.63	42	18.69
5.79	44	18.69
5.95	42	18.62
6.11	41	18.62
6.26	42	18.62
6.43	42	18.56
6.59	43	18.56
6.75	43	18.56
6.91	44	18.50
7.06	42	18.30
7.23	42	17.73
7.38	43	16.70
7.54	42	16.00
7.69	42	16.90
7.84	44	17.41
8.00	44	17.60
8.17	42	17.79
8.32	42	17.34
8.48	42	16.51
8.63	43	15.49
8.78	43	14.78
8.95	43	14.40
9.11	42	14.21
9.26	42	14.14
9.42	42	14.34
9.57	42	15.10
9.74	45	17.15
9.89	43	18.69
10.05	41	18.75
10.21	44	18.24
10.36	44	17.66
10.52	46	16.70
10.69	45	16.13
10.84	44	15.74
11.00	45	15.81
11.15	44	15.10
11.31	45	14.66
11.48	45	14.40
11.63	41	14.21
11.79	43	13.95
11.94	44	12.86
12.10	45	12.67
12.27	43	12.74
12.42	42	11.78
12.58	46	11.78
12.74	44	11.71
12.89	44	11.90
13.05	45	11.90
13.20	43	11.14
13.36	41	10.82
13.52	42	10.88
13.68	42	10.82
13.83	44	10.75
13.99	41	10.88
14.14	41	10.94
14.30	44	11.20
14.46	41	11.78
14.61	42	11.97
14.77	42	11.71
14.93	42	11.90
15.09	42	12.22
15.24	40	12.22
15.40	42	12.10
15.56	43	12.22
15.71	43	12.29
15.89	41	12.10
16.05	44	12.29
16.21	42	12.16
16.36	42	11.97
16.52	43	12.03
16.68	42	12.10
16.84	43	11.97
17.00	42	11.90
17.15	44	12.03
17.31	43	12.10
17.48	40	11.90
17.64	44	12.16
17.80	43	12.42
17.95	41	12.29
18.11	41	12.10
18.28	42	12.29
18.44	42	12.29
18.60	42	12.10
18.75	45	12.10
18.91	42	12.22
19.08	40	12.03
19.24	43	11.97
19.39	42	12.03
19.55	43	11.90
19.71	42	11.65
19.88	43	11.78
20.04	43	11.65
20.19	42	11.39
20.35	41	11.39
20.51	42	11.46
20.68	42	11.20
20.84	43	11.14
21.00	44	11.07
21.15	41	10.88
21.31	44	10.82
21.48	40	10.75
21.64	44	10.82
21.80	41	10.75
21.95	39	10.75
22.11	37	10.62
22.28	35	10.56
22.44	34	10.56
22.60	35	10.56
22.76	34	10.56
22.91	36	10.50
23.09	35	10.56
23.24	33	10.56
23.40	33	10.62
23.56	33	10.69
23.71	36	10.82
23.89	35	10.88
24.04	33	10.94
24.20	33	10.82
24.36	33	10.82
24.51	32	10.82
24.69	33	10.82
24.84	34	10.82
25.00	32	10.75
25.16	33	10.75
25.32	35	10.75
25.49	33	10.75
25.65	31	10.62
25.80	32	10.62
25.96	32	10.56
26.12	33	10.62
26.29	34	10.56
26.45	32	10.56
26.60	35	10.56
26.76	34	10.62
26.92	33	10.56
27.09	34	10.50
27.25	33	10.50
27.40	34	10.50
27.56	31	10.24
27.72	31	10.05
27.88	33	9.86
28.03	32	9.79
28.19	32	9.73
28.35	32	9.60
28.50	34	9.47
28.66	34	9.54
28.82	32	9.54
28.98	31	9.66
29.13	32	9.92
29.29	32	10.30
29.45	30	10.50
29.61	33	10.50
29.76	34	10.30
