Time (s)	Range (mm)	Lumens (0dB)
29.92	32	10.56
30.08	33	10.62
30.23	33	10.69
30.39	33	10.62
30.55	32	10.69
30.71	33	10.69
30.86	33	10.69
31.02	33	10.75
31.18	33	10.69
31.34	32	10.75
31.49	33	10.69
31.65	33	10.75
31.81	32	10.69
31.97	33	10.69
32.13	34	10.69
32.29	34	10.75
32.44	34	10.75
32.60	32	10.75
32.76	32	10.82
32.91	33	10.88
33.07	33	10.82
33.23	33	10.94
33.38	36	11.01
33.54	35	10.94
33.71	36	11.01
33.87	34	11.01
34.03	35	11.01
34.18	36	11.01
34.34	36	11.01
34.51	38	10.94
34.67	38	10.69
34.82	37	10.69
34.98	39	10.50
35.14	37	10.43
35.31	37	10.43
35.47	40	10.43
35.62	37	10.50
35.78	40	10.56
35.94	40	10.56
36.11	39	10.69
36.27	38	10.69
36.43	37	10.69
36.58	40	10.69
36.74	40	10.69
36.91	39	10.69
37.07	39	10.69
37.22	39	10.62
37.38	38	10.69
37.54	42	10.75
37.71	41	10.69
37.87	40	10.82
38.03	40	10.75
38.19	40	10.69
38.35	39	10.69
38.52	40	10.69
38.68	40	10.69
38.84	41	10.82
39.00	39	9.86
39.16	41	9.66
39.33	41	9.73
39.49	42	9.79
39.65	39	9.54
39.81	41	10.05
39.97	41	11.71
40.14	41	12.10
40.29	40	12.03
40.45	40	12.10
40.61	41	12.22
40.77	41	12.03
40.95	42	12.03
41.10	42	12.29
41.26	38	11.97
41.42	40	11.58
41.58	40	11.07
41.75	42	12.80
41.91	41	13.50
42.07	40	15.42
42.23	41	16.32
42.38	42	16.96
42.55	43	17.41
42.71	43	17.41
42.87	46	16.96
43.03	43	16.13
43.19	43	15.17
43.36	41	14.98
43.52	47	15.55
43.68	45	15.17
43.84	44	16.45
44.00	42	17.15
44.17	44	17.86
44.33	41	18.11
44.49	43	18.24
44.65	44	18.30
44.82	42	18.43
44.99	44	18.43
45.15	43	18.50
45.31	43	18.50
45.47	42	18.50
45.64	42	18.50
45.81	42	18.62
45.97	41	18.75
46.13	45	18.82
46.29	46	18.88
46.45	43	18.88
46.61	43	18.88
46.77	44	18.88
46.92	43	18.88
47.08	43	18.88
