Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.6,43,,,,,17.47,,,,,
0.9,44,,,,,17.54,,,,,
1.08,45,44.0,,,,17.54,,,,,
1.71,44,44.333333333333336,,,,17.54,1.7685520058937243,,0.529100529100533,,
1.87,45,44.666666666666664,44.2,,,17.47,0.0,,2.083333333333302,,
2.03,44,44.333333333333336,44.4,,,17.47,-3.3019713261648462,,-2.0833333333333077,-0.5111397734237073,0.17636684303350902
2.18,42,43.666666666666664,44.0,,,17.47,-4.444444444444457,,-4.444444444444465,-2.582138590203101,-1.4814814814814905
2.33,43,43.0,43.6,43.75,,17.54,-4.199346405228752,,-4.444444444444431,-3.981920725279352,-3.6574074074074017
2.5,42,42.333333333333336,43.2,43.625,,17.54,-1.838235294117652,,-3.9215686274509682,-3.4940087145969536,-4.270152505446622
2.65,42,42.333333333333336,42.6,43.375,43.4,17.54,0.0,,0.0,-2.012527233115468,-2.788671023965134
2.8,43,42.333333333333336,42.4,43.125,43.4,17.54,2.01612903225805,0.0,0.0,0.059297912713465926,-1.307189542483657
2.96,44,43.0,42.8,43.125,43.4,17.54,4.3100358422939,-0.34408602150537604,4.166666666666648,2.10872162485065,1.388888888888882
3.11,44,43.666666666666664,43.0,43.0,43.3,17.54,3.280228758169926,-0.3541666666666714,4.444444444444431,3.2021312109072917,2.870370370370359
3.28,44,44.0,43.4,43.0,43.3,17.54,0.9191176470588118,-0.3541666666666572,1.960784313725505,2.8364607491742126,3.523965141612194
3.43,44,44.0,43.8,43.25,43.2,17.54,1.1111111111110858,0.0,0.0,1.7701525054466078,2.135076252723311
3.58,45,44.333333333333336,44.2,43.5,43.3,17.54,0.13888888888888573,0.6465053763440665,2.222222222222239,0.7230392156862612,1.3943355119825804
3.74,43,44.0,44.0,43.625,43.4,17.54,-2.155017921146964,0.30241935483871885,-2.0833333333333464,-0.3016726403823308,0.04629629629629658
3.89,43,43.666666666666664,43.8,43.75,43.4,17.54,-2.155017921146907,0.6048387096774377,-2.222222222222239,-1.3903823178016619,-0.6944444444444499
4.05,44,43.333333333333336,43.8,43.875,43.6,17.54,-1.0080645161289965,0.9489247311828422,-2.0833333333333077,-1.7727001194742893,-2.129629629629632
4.2,43,43.333333333333336,43.6,43.75,43.7,17.66,-1.1111111111110858,0.0,0.0,-1.4247311827956632,-1.4351851851851833
4.35,42,43.0,43.0,43.5,43.6,17.66,-1.146953405017939,-0.34408602150540446,-2.222222222222246,-1.0887096774193405,-1.4351851851851858
4.51,44,43.0,43.2,43.5,43.6,17.54,2.2939068100358213,0.34408602150537604,0.0,0.011947431302265462,-0.7407407407407498
4.66,45,43.666666666666664,43.6,43.625,43.7,17.41,2.2939068100358213,-0.26075268817206165,4.444444444444418,1.146953405017901,0.7407407407407228
4.82,42,43.666666666666664,43.2,43.25,43.5,17.22,-2.0833333333333144,-1.25,0.0,0.8348267622461094,1.4814814814814714
4.98,42,43.0,43.0,43.125,43.3,16.96,-2.083333333333286,-0.6249999999999716,-4.166666666666648,-0.624253285543593,0.09259259259258872
5.14,45,43.0,43.6,43.375,43.3,16.83,1.0416666666666288,-2.842170943040401e-14,0.0,-1.0416666666666572,-1.388888888888884
5.3,43,43.333333333333336,43.4,43.25,43.3,16.9,0.0,-0.625,2.0833333333333464,-0.34722222222221905,-0.6944444444444352
5.46,41,43.0,42.6,43.0,43.1,17.02,-4.166666666666686,-1.25,-2.0833333333333464,-1.0416666666666856,-1.1842378929335002e-15
