Time (s),Range (mm),Lumens (0dB)
52.19,45,14.85
52.35,45,14.85
52.51,45,14.78
52.66,44,14.72
52.82,47,14.66
52.99,44,14.59
53.15,44,14.53
53.31,45,14.46
53.46,44,14.46
53.62,46,14.46
53.79,44,14.46
53.95,44,14.46
54.11,46,14.46
54.27,46,14.46
54.42,45,14.46
54.61,45,14.53
54.77,44,14.53
54.93,45,14.53
55.08,43,14.53
55.24,46,14.53
55.41,46,14.53
55.57,46,14.53
55.73,45,14.53
55.88,45,14.53
56.04,46,14.53
56.22,44,14.53
56.38,46,14.53
56.55,42,14.53
56.77,46,14.53
56.97,45,14.53
57.14,43,14.53
57.35,45,14.53
57.53,44,14.53
57.73,46,14.53
57.9,46,14.59
58.06,46,14.59
58.23,45,14.59
58.39,45,14.53
58.56,45,14.59
