Time (s)	Range (mm)	Lumens (0dB)
52.08	42	7.87
52.24	39	7.55
52.40	36	7.10
52.57	36	6.66
52.73	37	6.27
52.89	34	6.21
53.05	33	6.40
53.21	34	6.78
53.38	35	6.98
53.54	32	7.04
53.70	34	7.17
53.85	32	7.17
54.01	33	7.10
54.19	33	7.10
54.34	31	6.98
54.50	34	7.10
54.66	32	7.04
54.82	34	7.04
54.99	32	7.04
55.15	34	6.98
55.31	33	6.98
55.47	32	6.98
55.62	32	6.98
55.80	32	6.98
55.96	33	6.98
56.11	32	6.91
56.27	33	6.91
56.43	33	6.91
56.60	34	6.85
56.76	32	6.85
56.92	34	6.85
57.08	33	6.85
57.23	34	6.85
57.41	34	6.85
57.56	35	6.85
57.72	34	6.85
57.88	32	6.78
58.04	33	6.78
58.21	36	6.78
58.37	34	6.78
58.52	32	6.91
58.68	31	6.98
58.84	33	6.78
59.01	32	6.72
59.17	32	6.85
59.33	35	7.23
59.48	35	7.36
59.66	34	7.23
59.83	32	7.23
59.99	32	7.04
60.16	33	6.85
60.32	35	7.04
60.47	33	7.30
60.65	33	7.30
60.80	33	6.72
60.96	31	6.72
61.12	34	7.42
61.28	34	7.87
61.45	34	8.06
61.61	33	8.19
61.79	33	8.19
61.96	32	8.26
62.12	33	8.32
62.29	32	8.38
62.45	32	8.38
62.61	32	8.38
62.77	34	8.38
62.95	32	8.38
63.12	32	8.32
63.27	33	8.26
63.43	34	8.13
63.59	32	8.06
63.74	34	8.00
63.91	33	8.06
64.07	35	8.13
64.22	31	8.26
64.38	32	8.32
64.54	33	8.38
64.69	35	8.32
64.85	35	8.32
65.01	33	8.32
65.16	34	8.38
65.32	37	8.38
65.49	34	8.32
65.65	34	8.38
65.80	36	8.38
65.96	36	8.32
66.12	36	8.32
66.29	38	8.32
66.45	37	8.32
66.60	39	8.32
66.76	37	8.32
66.92	37	8.32
67.09	39	8.32
67.25	38	8.32
67.40	37	8.38
67.56	36	8.38
67.72	37	8.32
67.89	37	8.32
68.04	37	8.38
68.20	37	8.26
68.36	37	8.32
68.51	40	8.32
68.69	36	8.26
68.84	38	8.32
69.00	38	8.26
69.15	37	8.32
69.31	39	8.26
69.48	38	8.32
69.64	39	8.32
69.80	37	8.38
69.95	39	8.32
70.11	39	8.32
70.28	39	8.26
70.44	39	8.26
70.59	36	8.26
70.75	37	8.19
70.91	39	8.26
71.07	37	8.26
71.23	40	8.26
71.39	38	8.19
71.54	38	8.19
71.70	40	8.19
71.86	38	8.19
72.02	40	8.19
72.17	38	8.13
72.33	36	8.13
72.49	39	8.06
72.64	39	8.00
72.80	38	7.94
72.96	38	7.87
73.11	39	7.87
73.27	39	7.81
73.44	40	7.74
73.60	37	7.74
73.75	38	7.74
73.91	37	7.68
74.07	38	7.62
74.24	37	7.55
74.39	39	7.49
74.55	36	7.49
74.71	40	7.42
74.86	40	7.42
75.04	38	7.42
75.19	37	7.36
75.35	39	7.42
75.50	38	7.49
75.66	40	7.42
75.83	37	7.42
75.99	38	7.49
76.15	38	7.74
76.30	37	8.13
76.46	39	10.18
76.63	39	11.14
76.79	37	12.54
76.95	42	13.38
77.10	39	13.57
77.26	41	14.21
77.43	41	14.91
77.58	42	14.78
77.74	43	14.14
77.90	42	13.06
78.06	43	12.42
78.25	44	12.86
78.41	43	13.06
78.57	44	13.63
78.72	47	14.34
78.88	45	14.21
79.05	42	14.98
79.21	44	14.53
79.36	45	14.98
79.52	43	14.98
79.68	46	15.04
79.84	46	15.04
79.99	45	15.04
80.15	47	15.04
80.31	47	15.17
80.46	45	15.23
80.62	45	15.30
80.82	46	15.36
80.98	46	15.49
81.14	45	15.55
81.29	45	15.62
81.46	48	15.68
81.63	47	15.74
81.83	46	15.68
82.04	47	15.42
82.22	47	15.23
82.41	44	15.23
82.60	43	15.17
82.76	46	14.98
82.92	47	14.72
83.08	47	14.21
83.24	46	13.82
83.40	45	13.57
83.56	44	13.63
83.73	45	13.89
83.89	45	14.27
84.05	46	14.66
84.21	46	14.78
84.36	45	14.27
84.54	46	13.31
84.69	46	13.57
