Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.59,45,,,,,13.57,,,,,
0.88,44,,,,,13.57,,,,,
1.06,45,44.666666666666664,,,,13.63,,,,,
1.7,45,44.666666666666664,,,,13.63,0.0,,0.0,,
1.86,44,44.666666666666664,44.6,,,13.57,-1.0416666666666572,,0.0,,
2.02,44,44.333333333333336,44.4,,,13.57,-2.1550179211469356,,-2.0833333333333046,-1.0655615292711975,-0.6944444444444349
2.17,44,44.0,44.4,,,13.57,0.8691756272401108,,-2.222222222222239,-0.7758363201911607,-1.4351851851851813
2.33,46,44.666666666666664,44.6,44.625,,13.57,2.1464646464646364,,4.166666666666648,0.28687411751927056,-0.0462962962962985
2.5,44,44.666666666666664,44.4,44.5,,13.5,0.0,,0.0,1.0052134245682491,0.6481481481481364
2.66,44,44.666666666666664,44.4,44.5,44.5,13.5,-2.2939068100358213,,0.0,-0.04914738785706163,1.3888888888888828
2.81,44,44.0,44.4,44.375,44.4,13.5,-1.2858422939067964,-0.041666666666685614,-4.444444444444431,-1.1932497013142058,-1.4814814814814772
2.97,45,44.333333333333336,44.6,44.375,44.5,13.57,2.1550179211469356,0.30241935483871885,2.0833333333333464,-0.47491039426522735,-0.7870370370370283
3.12,45,44.666666666666664,44.4,44.5,44.5,13.76,1.1805555555555571,-0.2757352941176521,2.222222222222192,0.6832437275985654,-0.04629629629629761
3.29,44,44.666666666666664,44.4,44.5,44.4,13.95,0.0,0.07843137254900512,0.0,1.1118578255674976,1.4351851851851796
3.44,45,44.666666666666664,44.6,44.625,44.5,14.02,-2.2222222222222285,0.0,0.0,-0.3472222222222238,0.7407407407407307
3.59,43,44.0,44.4,44.25,44.4,14.02,-2.2939068100358497,-0.34408602150537604,-4.444444444444431,-1.5053763440860262,-1.4814814814814772
3.75,44,44.0,44.2,44.25,44.4,14.02,-2.0833333333333144,-0.9375,0.0,-2.1998207885304644,-1.4814814814814772
3.91,43,43.333333333333336,43.8,44.125,44.1,14.02,-1.0416666666666856,-0.9375,-4.166666666666648,-1.80630227001195,-2.8703703703703596
4.07,44,43.666666666666664,43.8,44.125,44.1,14.08,1.0080645161289965,0.0,2.083333333333302,-0.7056451612903345,-0.6944444444444485
4.22,44,43.666666666666664,43.6,44.0,44.1,14.08,2.0161290322580783,0.30241935483871885,0.0,0.6608422939067964,-0.6944444444444485
4.38,45,44.333333333333336,44.0,44.0,44.2,14.08,2.083333333333343,0.0,4.166666666666693,1.7025089605734725,2.0833333333333317
4.54,44,44.333333333333336,44.0,44.0,44.1,14.02,0.0,-0.625,0.0,1.3664874551971404,1.388888888888898
4.7,44,44.333333333333336,44.2,43.875,44.0,13.95,0.0,0.0,0.0,0.6944444444444476,1.388888888888898
4.86,45,44.333333333333336,44.4,44.125,44.1,13.95,0.9506833036244586,0.32196969696970257,0.0,0.3168944345414862,2.9605947323337506e-16
5.03,45,44.666666666666664,44.6,44.25,44.1,14.02,0.950683303624487,0.3219696969697168,1.9607843137254632,0.6337888690829819,0.6535947712418214
5.19,44,44.666666666666664,44.4,44.375,44.2,13.95,0.0,0.625,0.0,0.6337888690829819,0.6535947712418214
5.35,45,44.666666666666664,44.6,44.5,44.3,13.89,2.842170943040401e-14,0.9905913978494425,0.0,0.3168944345415052,0.6535947712418214
5.5,45,44.666666666666664,44.8,44.625,44.5,13.76,-1.008064516129025,0.38575268817203323,0.0,-0.3360215053763322,2.9605947323337506e-16
5.66,43,44.333333333333336,44.4,44.375,44.4,13.38,-1.0732323232323182,-0.036764705882347926,-2.083333333333302,-0.6937656131204383,-0.6944444444444337
5.83,45,44.333333333333336,44.4,44.5,44.5,12.99,-1.0732323232323324,-0.036764705882347926,0.0,-1.0515097208645585,-0.6944444444444337
5.99,44,44.0,44.4,44.5,44.4,12.8,0.0,-0.3125,-2.0833333333333464,-0.7154882154882168,-1.3888888888888824
6.15,44,44.333333333333336,44.2,44.375,44.4,12.67,-0.13888888888888573,0.0,2.0833333333333464,-0.40404040404040603,2.9605947323337506e-16
6.3,44,44.0,44.0,44.25,44.4,12.42,-1.146953405017939,-0.30241935483871885,-2.222222222222246,-0.4286140979689416,-0.7407407407407484
6.46,44,44.0,44.2,44.25,44.3,12.22,0.9506833036244728,-0.3219696969697168,0.0,-0.11171966342745066,-0.046296296296299534
6.63,45,44.333333333333336,44.2,44.25,44.3,12.03,2.023915626856791,0.3219696969697168,1.960784313725505,0.6092151751544416,-0.08714596949891333
6.79,45,44.666666666666664,44.4,44.25,44.4,11.9,2.023915626856791,0.3219696969697168,2.083333333333302,1.666171519112685,1.3480392156862695
6.96,45,45.0,44.6,44.5,44.4,11.84,-2.269013666072482,-0.9659090909090935,1.960784313725505,0.5929391958803668,2.001633986928104
7.12,42,44.0,44.2,44.125,44.1,11.9,-4.166666666666686,-0.625,-6.249999999999995,-1.4705882352941255,-0.7352941176470623
7.28,44,43.666666666666664,44.2,44.125,44.2,12.22,-2.9745989304812923,-0.2484402852049925,-2.0833333333333464,-3.1367597544068198,-2.124183006535945
7.45,43,43.0,43.8,44.0,44.0,12.99,4.538027332144992,0.717468805704101,-3.9215686274509682,-0.8677460883343286,-4.084967320261436
7.61,48,45.0,44.4,44.5,44.4,14.27,7.291666666666657,1.5625000000000284,12.49999999999999,2.951698356110119,2.165032679738559
7.77,45,45.333333333333336,44.4,44.625,44.5,14.98,4.166666666666657,0.9374999999999716,2.083333333333358,5.332120221826102,3.55392156862746
7.93,46,46.333333333333336,45.2,44.75,44.7,14.78,0.730286738351225,1.2930107526881613,6.249999999999995,4.06287335722818,6.944444444444447
8.08,46,45.666666666666664,45.6,44.875,44.9,14.4,-0.5228758169934622,1.2598039215686185,-4.444444444444465,1.4580258626748066,1.2962962962962965
8.25,47,46.333333333333336,46.4,45.125,45.1,13.89,0.8281342840166701,0.5704099821746809,3.92156862745101,0.345181735124811,1.9090413943355138
