Time (s)	Range (mm)	Lumens (0dB)
0.59	45	12.22
0.93	46	12.29
1.11	44	12.29
1.76	45	12.35
1.92	46	12.35
2.07	47	12.35
2.23	45	12.35
2.38	46	12.35
2.54	46	12.42
2.70	43	12.35
2.85	45	12.35
3.02	43	12.35
3.18	46	12.35
3.34	44	12.35
3.49	48	12.35
3.65	44	12.35
3.82	46	12.35
3.99	45	12.35
4.15	47	12.35
4.32	46	12.35
4.48	45	12.48
4.65	45	12.61
4.81	45	12.61
4.98	45	12.61
5.15	45	12.61
5.31	46	12.61
5.48	46	12.67
5.64	44	12.74
5.81	48	12.74
5.97	46	12.74
6.14	46	12.67
6.30	46	12.61
6.46	44	12.67
6.62	48	12.67
6.77	46	12.67
6.93	47	12.74
7.09	46	12.80
7.25	47	12.74
7.40	46	12.67
7.56	46	12.54
7.72	46	12.42
7.89	46	12.29
8.04	46	12.10
8.20	45	11.90
8.36	47	11.78
8.52	45	11.58
8.69	47	11.58
8.85	45	11.46
9.01	46	11.26
9.17	45	11.20
9.32	44	11.26
9.50	47	11.33
9.66	46	11.39
9.82	46	11.39
9.98	46	11.52
10.13	43	11.71
10.31	46	11.90
10.46	45	11.90
10.62	45	11.97
10.78	44	12.16
10.94	46	12.80
11.12	44	13.70
11.28	46	14.40
11.43	46	14.72
11.59	46	14.78
11.75	46	14.53
11.92	47	14.08
12.08	43	13.44
12.23	42	12.86
12.39	43	12.67
12.54	43	12.35
12.71	45	11.78
12.87	45	11.65
13.03	43	11.52
13.18	42	11.78
13.34	44	12.03
13.51	44	11.20
13.67	42	10.94
13.82	44	11.07
13.98	45	10.43
14.14	43	9.54
14.31	41	9.34
14.47	44	9.79
14.62	42	8.32
14.78	42	8.26
14.94	42	8.26
15.11	44	8.13
15.27	42	8.00
15.42	42	8.26
15.58	41	8.13
15.74	41	8.26
15.91	43	8.26
16.07	41	8.13
16.22	40	8.13
16.38	41	8.19
16.54	42	8.06
16.71	39	8.00
16.87	41	8.00
17.03	41	8.06
17.18	41	8.00
17.34	40	7.94
17.51	41	7.94
17.67	42	7.94
17.83	39	8.00
17.98	41	7.94
18.14	40	7.87
18.30	39	7.87
18.46	43	7.94
18.61	41	7.94
18.77	38	7.87
18.93	41	7.81
19.09	40	7.87
19.24	41	7.87
19.40	40	7.94
19.56	41	7.87
19.71	39	7.87
19.87	38	7.81
20.03	40	7.81
20.19	41	7.87
20.35	41	7.87
20.52	40	7.87
20.68	39	7.87
20.84	41	7.87
21.00	42	7.94
21.15	42	7.87
21.32	41	7.87
21.48	41	7.87
21.64	40	7.81
21.80	38	7.74
21.96	41	7.49
22.13	38	7.04
22.29	39	6.72
22.44	40	6.59
22.60	41	6.53
22.76	39	6.66
22.93	41	6.78
23.09	39	6.78
23.25	40	6.78
23.40	40	6.78
23.56	41	6.78
23.73	41	6.85
23.90	41	6.85
24.06	40	6.85
24.21	40	6.78
24.37	40	6.85
24.54	39	6.98
24.70	39	7.23
24.86	40	7.62
25.01	38	7.74
25.17	38	7.74
25.34	39	7.81
25.50	40	7.81
25.66	41	8.51
25.82	37	9.41
25.97	41	9.34
26.15	40	9.41
26.30	37	9.34
26.46	39	8.96
26.62	39	8.38
26.77	37	7.74
26.95	41	7.23
27.10	40	7.23
27.26	39	7.68
27.42	38	8.32
27.57	40	8.64
27.75	39	8.58
27.90	40	8.32
28.06	39	8.00
28.22	39	7.81
28.37	40	7.68
28.55	39	7.55
28.70	41	7.49
28.86	39	7.49
29.02	41	7.36
29.17	40	7.36
29.35	40	7.23
29.50	37	7.23
29.66	37	7.17
29.82	36	7.17
29.97	33	7.10
30.15	34	7.17
30.30	33	7.17
30.46	33	7.17
30.62	35	7.17
30.77	32	7.17
30.95	32	7.10
31.10	35	7.10
31.26	35	7.04
31.42	33	6.98
31.57	34	6.98
31.74	32	6.98
31.90	34	6.98
32.06	33	6.91
32.22	34	6.91
32.37	31	6.91
32.54	33	6.91
32.70	31	6.85
32.86	33	6.85
33.01	34	6.85
33.17	35	6.91
33.33	33	6.85
33.49	32	6.85
33.64	32	6.85
33.80	34	6.85
33.96	33	6.78
34.13	35	6.72
34.29	33	6.78
34.45	32	6.72
34.61	32	6.78
34.77	34	6.78
34.94	33	6.78
35.10	33	6.78
35.26	34	6.78
35.41	34	6.53
35.57	33	6.27
35.74	35	6.34
35.90	29	6.40
36.06	32	6.40
36.22	32	6.46
36.37	32	6.66
36.54	32	6.85
36.70	33	6.78
36.86	32	6.78
37.01	35	6.66
37.17	33	6.53
37.34	31	6.53
37.50	32	6.66
37.65	33	6.78
37.81	34	6.78
37.97	32	6.72
38.14	31	6.78
38.30	33	6.78
38.45	30	6.85
38.61	33	6.85
38.77	31	6.85
38.94	35	6.78
39.10	33	6.78
39.25	32	6.78
39.41	31	6.78
39.58	34	6.78
39.75	33	6.78
39.91	32	6.59
40.07	36	5.95
40.23	33	6.46
40.39	35	6.78
40.57	33	6.98
40.73	35	7.17
40.89	32	7.49
41.04	36	7.68
41.20	34	7.74
41.36	35	7.81
41.52	35	7.74
41.68	35	7.74
41.83	36	7.49
41.99	37	7.23
42.15	37	7.23
42.31	35	7.17
42.47	36	7.17
42.62	38	7.23
42.80	38	7.36
42.95	39	7.49
43.11	36	7.74
43.27	38	7.94
43.43	37	8.00
43.60	37	8.00
43.76	37	8.06
43.91	38	8.06
44.07	38	8.06
44.23	36	8.06
44.40	38	8.06
44.56	39	8.06
44.72	37	8.06
44.87	38	8.00
45.03	38	8.00
45.20	38	7.94
45.36	39	7.94
45.52	37	7.94
45.67	37	7.94
45.83	38	8.00
46.00	39	7.94
46.16	40	7.94
46.32	38	7.87
46.47	40	7.94
46.63	39	7.94
46.80	38	7.94
46.96	40	7.94
47.12	39	7.94
47.27	40	7.94
47.43	39	7.94
47.60	40	7.94
47.76	39	7.94
47.92	41	8.00
48.07	39	8.00
48.23	42	8.00
48.40	41	7.87
48.56	39	7.81
48.72	41	7.81
48.88	39	7.87
49.03	40	7.94
49.21	40	7.87
49.36	40	7.94
49.52	41	7.94
49.68	40	7.94
49.83	41	7.94
50.01	40	7.87
50.16	38	7.87
50.32	41	7.87
50.48	39	7.81
50.63	40	7.74
50.81	38	7.55
50.96	39	7.42
51.12	40	7.30
51.28	39	7.49
51.43	38	7.68
51.60	38	9.79
51.76	41	9.98
51.92	40	12.16
52.07	41	13.06
52.23	42	13.25
52.39	42	13.89
52.54	43	14.02
52.70	44	12.99
52.86	42	12.03
53.02	44	11.58
53.19	43	12.29
53.34	43	12.86
53.50	45	13.82
53.66	45	13.95
53.82	44	13.89
53.99	44	14.59
54.15	46	13.70
54.30	44	14.78
54.46	46	13.95
54.62	45	14.34
54.79	43	14.40
54.96	45	13.38
55.15	44	13.44
55.34	45	13.44
55.53	47	13.50
55.72	47	13.50
55.91	46	13.44
56.07	47	13.57
56.23	48	13.76
56.40	45	13.82
56.56	45	13.82
