Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.6,44,,,,,10.88,,,,,
0.99,43,,,,,10.94,,,,,
1.17,44,43.666666666666664,,,,10.94,,,,,
1.81,43,43.333333333333336,,,,10.94,1.5624999999999432,,-0.5208333333333258,,
1.97,44,43.666666666666664,43.6,,,10.94,2.1550179211469356,,2.0833333333333046,,
2.12,45,44.0,43.8,,,10.94,0.1388888888888573,,2.222222222222236,1.2854689366785788,1.2615740740740715
2.28,42,43.666666666666664,43.6,,,10.88,-1.0732323232323608,,-2.083333333333352,0.406891495601144,0.7407407407407295
2.45,44,43.666666666666664,43.6,43.625,,10.88,2.842170943040401e-14,,0.0,-0.311447811447825,0.04629629629629465
2.61,45,43.666666666666664,44.0,43.75,,10.88,2.293906810035878,,0.0,0.40689149560118193,-0.6944444444444507
2.76,44,44.333333333333336,44.0,43.875,43.8,10.88,1.2858422939068248,,4.444444444444478,1.1932497013142438,1.4814814814814927
2.92,43,44.0,43.6,43.75,43.7,10.88,-1.0416666666666572,0.3125,-2.0833333333333464,0.8460274790920153,0.787037037037044
3.08,45,44.0,44.2,44.0,43.9,10.82,-1.0416666666666856,0.3125,0.0,-0.265830346475506,0.787037037037044
3.24,43,43.666666666666664,44.0,43.875,43.8,10.88,1.0416666666666856,0.3125,-2.0833333333333464,-0.34722222222221905,-1.3888888888888975
3.4,45,44.333333333333336,44.0,43.875,44.0,11.01,0.0,0.3125000000000284,4.166666666666704,0.0,0.6944444444444526
3.56,43,43.666666666666664,43.8,44.0,43.9,11.14,-2.083333333333343,-0.9375,-4.166666666666693,-0.34722222222221905,-0.694444444444445
3.72,43,43.666666666666664,43.8,43.875,43.7,11.14,0.0,0.42741935483874727,0.0,-0.6944444444444476,3.848773152033876e-15
3.87,45,43.666666666666664,43.8,43.875,44.0,11.14,1.838235294117652,1.3382352941176379,0.0,-0.08169934640523024,-1.3888888888888975
4.04,45,44.333333333333336,44.2,44.0,44.1,11.07,5.121063576945943,0.6071746880570572,3.92156862745101,2.3197662903545315,1.30718954248367
4.2,46,45.333333333333336,44.4,44.375,44.2,11.01,4.171146953405014,0.9905913978494709,6.249999999999995,3.710148608156203,3.390522875817002
