Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.59,46,,,,,13.18,,,,,
0.89,45,,,,,13.18,,,,,
1.07,46,45.666666666666664,,,,13.06,,,,,
1.71,46,45.666666666666664,,,,12.54,1.6666666666666572,,0.0,,
1.87,46,46.0,45.8,,,12.42,2.083333333333343,,2.0833333333333464,,
2.03,47,46.333333333333336,46.0,,,12.29,2.1550179211469924,,2.083333333333352,1.9683393070489974,1.3888888888888993
2.18,47,46.666666666666664,46.4,,,12.03,1.1469534050178822,,2.2222222222221855,1.7951015531660726,2.129629629629628
2.34,46,46.666666666666664,46.4,46.125,,11.84,2.083333333333343,,0.0,1.7951015531660726,1.4351851851851791
2.5,49,47.333333333333336,47.0,46.5,,11.78,0.0,,4.166666666666693,1.076762246117075,2.129629629629626
2.66,45,46.666666666666664,46.8,46.5,46.3,11.78,0.2777777777777999,,-4.166666666666693,0.7870370370370475,1.4802973661668753e-16
2.81,48,47.333333333333336,47.0,46.75,46.5,11.78,0.27777777777777146,1.2930107526881613,4.444444444444478,0.18518518518519045,1.4814814814814927
2.97,47,46.666666666666664,47.0,46.875,46.7,11.84,-1.0416666666666572,0.625,-4.166666666666693,-0.16203703703702863,-1.2962962962963023
3.13,46,47.0,47.0,46.875,46.7,11.97,-0.8281342840166133,0.0,2.083333333333352,-0.5306743909684997,0.787037037037046
3.3,46,46.333333333333336,46.4,46.75,46.7,12.1,-5.379901960784309,-0.7083333333333428,-3.9215686274509682,-2.4165676371558598,-2.0016339869281032
3.45,44,45.333333333333336,46.2,46.375,46.5,12.22,-4.448924731182814,-1.2930107526882182,-6.666666666666651,-3.552320325327912,-2.834967320261422
3.61,45,45.0,45.6,46.25,46.3,12.42,-2.0833333333333712,-1.25,-2.083333333333352,-3.970720008433498,-4.223856209150323
3.77,45,44.666666666666664,45.2,45.75,46.1,12.61,-3.125,-1.8749999999999716,-2.0833333333333464,-3.219086021505395,-3.611111111111116
3.93,42,44.0,44.4,45.375,45.7,12.8,-1.0416666666666288,-2.1875000000000284,-4.166666666666648,-2.0833333333333335,-2.777777777777782
4.09,46,44.333333333333336,44.4,45.125,45.4,12.99,1.0416666666666856,-0.9375000000000284,2.083333333333352,-1.0416666666666476,-1.388888888888881
4.25,45,44.333333333333336,44.6,44.875,45.4,13.12,3.125,-0.9375,0.0,1.0416666666666856,-0.6944444444444322
4.41,45,45.333333333333336,44.6,44.75,45.1,13.25,1.0416666666666572,-1.8750000000000284,6.249999999999995,1.7361111111111143,2.777777777777782
4.57,44,44.666666666666664,44.4,44.5,44.8,13.31,-2.083333333333343,-1.25,-4.166666666666693,0.6944444444444381,0.6944444444444339
4.73,45,44.666666666666664,45.0,44.625,44.7,13.31,-1.0416666666666572,-0.9374999999999716,0.0,-0.6944444444444476,0.6944444444444339
4.89,44,44.333333333333336,44.6,44.5,44.5,13.44,-2.083333333333343,-0.9375000000000284,-2.0833333333333135,-1.7361111111111143,-2.0833333333333357
5.05,43,44.0,44.2,44.25,44.4,13.5,0.0,0.0,-2.0833333333333464,-1.0416666666666667,-1.3888888888888868
5.21,46,44.333333333333336,44.4,44.75,44.5,13.63,1.0416666666666572,0.0,2.0833333333333464,-0.34722222222222854,-0.6944444444444381
5.37,44,44.333333333333336,44.4,44.5,44.4,13.63,1.0416666666666572,0.3125,0.0,0.6944444444444381,-2.9605947323337506e-16
5.53,44,44.666666666666664,44.2,44.375,44.6,13.63,-2.729500891265616,-0.496880570409985,2.083333333333302,-0.2153891859774338,1.3888888888888824
5.7,42,43.333333333333336,43.8,44.0,44.2,13.57,-1.6562685680332834,-0.8188502673797018,-7.8431372549019365,-1.114700930877414,-1.9199346405228785
5.86,46,44.0,44.4,44.25,44.3,13.57,4.3100358422939,0.6465053763440949,4.166666666666648,-0.025244539001666528,-0.5310457516339957
6.01,46,44.666666666666664,44.4,44.375,44.4,13.57,5.3181003584229245,0.6465053763440949,4.444444444444445,2.6572892108945134,0.2559912854030519
6.17,45,45.666666666666664,44.6,44.5,44.5,13.57,4.171146953405014,0.9905913978494709,6.249999999999995,4.599761051373946,4.953703703703695
6.32,47,46.0,45.2,45.0,44.7,13.57,-0.6576797385620949,0.7083333333333286,2.2222222222222325,2.943855857755281,4.305555555555556
6.49,44,45.333333333333336,45.6,44.75,44.7,13.57,0.5228758169934906,1.4166666666666572,-3.9215686274509682,1.345447677278803,1.516884531590419
6.64,47,46.0,45.8,45.125,45.1,13.57,0.27777777777777146,1.0739247311827853,4.444444444444445,0.04765795206972238,0.9150326797385689
6.8,45,45.333333333333336,45.6,45.25,45.0,13.63,-0.8691756272401676,0.04166666666665719,-4.166666666666648,-0.02284067748963518,-1.214596949891058
6.95,45,45.666666666666664,45.6,45.625,45.1,13.76,1.1111111111111427,1.3333333333333428,2.2222222222221855,0.1732377538829155,0.8333333333333265
7.1,47,45.666666666666664,45.6,45.75,45.4,13.82,-1.4210854715202004e-14,1.8484848484848442,0.0,0.08064516129032029,-0.648148148148155
7.28,45,45.666666666666664,45.8,45.625,45.7,13.76,-2.842170943040401e-14,0.4534313725489767,0.0,0.3703703703703667,0.7407407407407277
7.44,45,45.666666666666664,45.4,45.625,45.6,13.82,-2.083333333333343,-0.625,0.0,-0.6944444444444619,0.0
7.6,45,45.0,45.4,45.375,45.5,13.95,-1.0416666666666856,0.0,-4.166666666666671,-1.0416666666666856,-1.388888888888891
7.76,46,45.333333333333336,45.6,45.625,45.6,14.85,-0.13888888888888573,-0.7298387096774377,2.0833333333333464,-1.0879629629629715,-0.6944444444444423
7.91,44,45.0,45.0,45.25,45.3,15.42,-2.0538720538720554,-1.0909090909091077,-2.2222222222222325,-1.0781425364758757,-1.4351851851851862
8.09,44,44.666666666666664,44.8,45.125,45.3,15.1,-0.8417508417508657,-0.36363636363634555,-1.8518518518518678,-1.0115039281706022,-0.6635802469135852
8.24,46,44.666666666666664,45.0,45.25,45.2,14.98,2.0161290322580783,-0.04166666666665719,0.0,-0.2931646211216143,-1.358024691358034
8.4,46,45.333333333333336,45.2,45.125,45.3,14.72,3.125,0.3124999999999716,4.166666666666693,1.4331260635024041,0.7716049382716078
8.56,45,45.666666666666664,45.0,45.125,45.3,15.62,0.0,-0.6249999999999716,2.083333333333302,1.7137096774193594,2.0833333333333313
