Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.59,45,,,,,12.22,,,,,
0.93,46,,,,,12.29,,,,,
1.11,44,45.0,,,,12.29,,,,,
1.76,45,45.0,,,,12.35,0.0,,0.0,,
1.92,46,45.0,45.2,,,12.35,3.440860215053789,,0.0,,
2.07,47,46.0,45.6,,,12.35,3.4408602150537604,,6.6666666666666705,2.2939068100358497,2.2222222222222237
2.23,45,46.0,45.4,,,12.35,0.0,,0.0,2.2939068100358497,2.2222222222222237
2.38,46,46.0,45.8,45.5,,12.35,-1.008064516129025,,0.0,0.8109318996415785,2.2222222222222237
2.54,46,45.666666666666664,46.0,45.625,,12.42,-3.125,,-2.0833333333333464,-1.3776881720430083,-0.6944444444444487
2.7,43,45.0,45.4,45.25,45.3,12.35,-3.163082437275989,,-4.166666666666648,-2.432048984468338,-2.0833333333333317
2.85,45,44.666666666666664,45.0,45.375,45.3,12.35,-3.9379084967320352,-0.8272058823529562,-2.222222222222239,-3.4086636446693412,-2.824074074074078
3.02,43,43.666666666666664,44.6,45.125,45.0,12.35,0.3676470588235361,-0.21167557932261616,-5.882352941176473,-2.2444479583948294,-4.09041394335512
3.18,46,44.666666666666664,44.6,45.125,45.2,12.35,2.0833333333333712,0.3124999999999716,6.249999999999995,-0.49564270152504264,-0.6181917211329058
3.34,44,44.333333333333336,44.2,44.75,45.1,12.35,4.726702508960585,0.38575268817203323,-2.0833333333333077,2.3925609670391643,-0.5718954248365953
3.49,48,46.0,45.2,45.125,45.3,12.35,3.7186379928315034,-0.21908602150540446,11.11111111111107,3.50955794504182,5.0925925925925855
3.65,44,45.333333333333336,45.0,44.875,45.0,12.35,-0.24509803921569073,-0.6807040998217246,-4.16666666666666,2.7334141541921326,1.6203703703703674
3.82,46,46.0,45.6,44.875,45.1,12.35,-0.9803921568627345,0.0,3.9215686274509682,0.8310492655843594,3.6220043572984593
3.99,45,45.0,45.4,45.125,45.0,12.35,0.3676470588235361,0.036764705882347926,-5.882352941176458,-0.28594771241829636,-2.0424836601307166
4.15,47,46.0,46.0,45.375,45.1,12.35,3.2196969696969404,1.1775846702317097,6.249999999999995,0.8689839572192474,1.4297385620915015
4.32,46,46.0,45.6,45.75,45.4,12.35,2.842170943040401e-14,0.8556149732620497,0.0,1.1957813428401682,0.12254901960784537
4.48,45,46.0,45.8,45.625,45.4,12.48,-1.901366607248974,0.5704099821746809,0.0,0.43944345414933156,2.0833333333333313
4.65,45,45.333333333333336,45.6,45.75,45.6,12.61,-2.9745989304813065,0.24844028520496408,-3.9215686274509682,-1.625321845910084,-1.3071895424836564
4.81,45,45.0,45.6,45.375,45.5,12.61,-1.0732323232323608,-0.036764705882347926,-2.083333333333358,-1.983065953654214,-2.001633986928109
4.98,45,45.0,45.2,45.5,45.6,12.61,2.842170943040401e-14,-0.5882352941176237,0.0,-1.349277084571213,-2.001633986928109
5.15,45,45.0,45.0,45.375,45.3,12.61,1.073232323232304,-0.21167557932264458,0.0,-9.473903143468002e-15,-0.694444444444453
5.31,46,45.333333333333336,45.2,45.5,45.5,12.61,2.023915626856791,0.6439393939394336,2.083333333333358,1.0323826500297077,0.6944444444444523
5.48,46,45.666666666666664,45.4,45.375,45.5,12.67,-0.12254901960784537,-0.3219696969697168,1.9607843137254528,0.9915329768270832,1.34803921568627
5.64,44,45.333333333333336,45.2,45.125,45.4,12.74,0.8281342840166417,-0.036764705882319504,-2.0833333333333135,0.9098336304218625,0.6535947712418322
5.81,48,46.0,45.8,45.5,45.5,12.74,1.901366607248974,0.28520499108736885,3.9215686274509682,0.8689839572192568,1.2663398692810357
5.97,46,46.0,46.0,45.625,45.5,12.74,1.9013666072489457,0.28520499108734043,0.0,1.5436224995048538,0.6127450980392181
6.14,46,46.666666666666664,46.0,45.75,45.6,12.67,-0.2450980392156623,0.6071746880570288,3.9215686274509682,1.1858783917607525,2.614379084967312
6.3,46,46.0,46.0,45.875,45.7,12.61,-4.166666666666657,0.0,-4.166666666666648,-0.8367993662111246,-0.08169934640522698
6.46,44,45.333333333333336,46.0,45.75,45.6,12.67,0.0,0.625,-4.166666666666648,-1.4705882352941064,-1.4705882352941098
6.62,48,46.0,46.0,46.0,45.9,12.67,2.0161290322580783,1.2513440860215326,4.166666666666648,-0.7168458781361929,-1.388888888888883
6.77,46,46.0,46.0,46.0,46.0,12.67,3.0241935483870748,0.6465053763440949,0.0,1.6801075268817176,-2.9605947323337506e-16
6.93,47,47.0,46.2,46.375,46.1,12.74,1.0416666666666572,0.3125,6.249999999999995,2.0273297491039366,3.4722222222222143
7.09,46,46.333333333333336,46.2,46.125,46.1,12.8,-1.0416666666666856,0.9374999999999716,-4.166666666666648,1.0080645161290154,0.6944444444444487
7.25,47,46.666666666666664,46.8,46.25,46.4,12.74,-0.13888888888891415,0.21908602150537604,2.083333333333302,-0.04629629629631419,1.3888888888888828
7.4,46,46.333333333333336,46.4,46.25,46.2,12.67,-1.1469534050179107,-0.6881720430107521,-2.2222222222221855,-0.7758363201911701,-1.4351851851851773
7.56,46,46.333333333333336,46.4,46.25,46.2,12.54,-1.0416666666666856,-2.842170943040401e-14,0.0,-0.7758363201911701,-0.04629629629629465
7.72,46,46.0,46.2,46.5,46.2,12.42,-1.0732323232323324,0.0,-2.0833333333333464,-1.0872841316389763,-1.4351851851851773
7.89,46,46.0,46.2,46.25,46.2,12.29,0.0,0.7083333333333144,0.0,-0.7049663299663393,-0.694444444444449
8.04,46,46.0,46.0,46.25,46.4,12.1,-1.0080645161290533,-0.21908602150540446,0.0,-0.6937656131204619,-0.694444444444449
8.2,45,45.666666666666664,45.8,46.0,46.1,11.9,0.0,-0.6249999999999716,-2.0833333333333464,-0.3360215053763511,-0.6944444444444487
8.36,47,46.0,46.0,46.125,46.2,11.78,0.0,-0.3125,2.0833333333333464,-0.3360215053763511,0.0
8.52,45,45.666666666666664,45.8,45.875,46.0,11.58,0.8281342840166133,-0.3587344028520363,-2.0833333333333464,0.27604476133887107,-0.6944444444444487
8.69,47,46.333333333333336,46.0,46.0,46.1,11.58,-0.2450980392156623,-0.3587344028520363,3.92156862745101,0.19434541493365032,1.30718954248367
8.85,45,45.666666666666664,45.8,45.875,45.9,11.46,-1.0416666666666572,-0.625,-4.166666666666693,-0.15287680728856876,-0.7761437908496763
9.01,46,46.0,46.0,45.875,45.9,11.26,-1.0416666666666572,-0.3125000000000284,2.0833333333333464,-0.7761437908496589,0.6127450980392212
9.17,45,45.333333333333336,45.6,45.75,45.8,11.2,-3.163082437275989,-0.9905913978494425,-4.166666666666648,-1.7488052568697678,-2.0833333333333317
