Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.6,47,,,,,10.18,,,,,
0.91,44,,,,,10.11,,,,,
1.1,46,45.666666666666664,,,,10.18,,,,,
1.77,47,45.666666666666664,,,,10.18,-2.842170943040401e-14,,0.0,,
1.94,44,45.666666666666664,45.6,,,10.18,-1.0732323232322756,,0.0,,
2.1,45,45.333333333333336,45.2,,,10.18,-2.083333333333343,,-2.083333333333302,-1.052188552188549,-0.694444444444434
2.26,46,45.0,45.6,,,10.18,-2.0239156268568337,,-2.083333333333352,-1.7268270944741506,-1.3888888888888846
2.43,43,44.666666666666664,45.0,45.25,,10.18,0.2614379084967311,,-1.9607843137254999,-1.2819370172311484,-2.042483660130718
2.58,46,45.0,44.8,45.125,,10.18,-0.8691756272401108,,2.222222222222239,-0.8772177818667378,-0.6072984749455376
2.74,44,44.333333333333336,44.8,45.125,45.2,10.18,1.0416666666666856,,-4.166666666666648,0.14464298264110198,-1.3017429193899697
2.9,46,45.333333333333336,45.0,45.125,45.1,10.18,2.083333333333343,0.0,6.2500000000000115,0.7519414575866392,1.4351851851852009
3.06,45,45.0,44.8,44.875,45.2,10.18,-0.12254901960784537,0.036764705882347926,-2.0833333333333464,1.000816993464061,5.625129991434126e-15
3.23,45,45.333333333333336,45.2,45.0,45.1,10.24,0.9191176470588402,-0.6299019607843093,1.960784313725505,0.9599673202614459,2.0424836601307237
3.38,46,45.333333333333336,45.2,45.125,45.0,10.24,-2.842170943040401e-14,-0.04166666666665719,0.0,0.2655228758169888,-0.040849673202613644
3.54,45,45.333333333333336,45.4,45.0,45.1,10.24,-1.1469534050179107,-0.041666666666685614,0.0,-0.07594525265303294,0.6535947712418352
3.69,44,45.0,45.0,45.125,45.0,10.18,-2.0996732026143974,-0.6299019607843377,-2.222222222222239,-1.0822088692107787,-0.7407407407407463
3.86,45,44.666666666666664,45.0,45.0,44.9,9.54,-0.1089324618736498,0.5070028011204499,-1.960784313725505,-1.1185196898353194,-1.3943355119825813
4.04,46,45.0,45.2,45.25,45.2,9.15,2.053872053872084,0.3939393939393767,1.8518518518518634,-0.05157787020532112,-0.7770515613652934
4.19,45,45.333333333333336,45.0,45.125,45.1,8.83,0.13888888888888573,-0.34408602150540446,2.2222222222222325,0.6946094936291066,0.7044299201161972
4.35,44,45.0,44.8,45.0,45.1,8.19,-3.3019713261648462,-0.6881720430107237,-2.083333333333358,-0.3697367944679589,0.6635802469135795
4.5,44,44.333333333333336,44.8,44.875,44.9,7.68,-1.2858422939067964,-0.38575268817203323,-4.444444444444418,-1.4829749103942522,-1.435185185185181
4.66,46,44.666666666666664,45.0,44.875,45.0,7.55,2.023915626856791,0.3219696969697168,2.083333333333302,-0.8546326644049506,-1.481481481481491
4.83,45,45.0,44.8,44.875,45.0,7.68,2.0239156268568195,-0.3219696969697168,1.960784313725505,0.9206629866022714,-0.13344226579520338
4.99,45,45.333333333333336,44.8,45.0,44.9,7.55,-1.0416666666666856,-0.6250000000000284,2.0833333333333464,1.002054862348975,2.0424836601307184
5.15,44,44.666666666666664,44.8,44.875,44.8,7.94,-4.166666666666686,-0.625,-4.166666666666693,-1.0614725688255173,-0.040849673202613346
5.31,43,44.0,44.6,44.5,44.7,8.26,-4.310035842293871,-0.9905913978494425,-4.166666666666671,-3.1727897252090806,-2.083333333333339
5.46,43,43.333333333333336,44.0,44.25,44.5,8.77,-0.27777777777774304,-0.6881720430107521,-4.444444444444418,-2.918160095579433,-4.25925925925926
5.62,46,44.0,44.2,44.5,44.5,8.64,4.166666666666629,0.0,4.166666666666648,-0.1403823178016618,-1.4814814814814798
5.78,45,44.666666666666664,44.2,44.625,44.5,9.09,5.208333333333314,0.625,4.166666666666648,3.0324074074074,1.2962962962962934
5.94,46,45.666666666666664,44.6,44.625,44.7,9.09,1.0416666666666572,0.625,6.249999999999995,3.4722222222222,4.861111111111097
6.1,44,45.0,44.8,44.5,44.7,9.6,-1.0416666666666856,0.0,-4.166666666666671,1.7361111111110954,2.0833333333333246
6.26,46,45.333333333333336,45.4,44.625,44.7,10.11,-0.8281342840166417,-0.28520499108735464,2.0833333333333464,-0.27604476133889005,1.3888888888888904
6.43,44,44.666666666666664,45.0,44.625,44.6,10.43,-0.6576797385621092,-0.2757352941176521,-3.92156862745101,-0.8424935630818121,-2.0016339869281112
6.58,45,45.0,45.0,44.875,44.6,10.94,3.163082437275989,1.209677419354847,2.2222222222222325,0.5590894715657461,0.12799564270152355
6.74,48,45.666666666666664,45.4,45.5,45.0,11.52,4.166666666666657,2.1874999999999716,4.166666666666648,2.2240231217935125,0.8224400871459577
6.9,46,46.333333333333336,45.8,45.5,45.3,11.78,2.083333333333343,1.5625000000000284,4.166666666666693,3.137694145758663,3.518518518518525
7.06,45,46.333333333333336,45.6,45.5,45.5,11.9,-4.587813620071643,-0.08333333333334281,0.0,0.5540621266427858,2.777777777777781
