Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s),Average of Vel Avg 3,Average of Manual Vel Avg 3
0.6,40,,,,,16.06,,,,,
0.93,42,,,,,16.0,,,,,
1.11,44,42.0,,,,15.81,,,,,
1.75,45,43.666666666666664,,,,15.42,3.645076857903689,,2.6041666666666634,,
1.92,44,44.333333333333336,43.0,,,15.42,-0.5228758169934622,,3.92156862745101,,
2.07,42,43.666666666666664,43.4,,,15.42,-2.2222222222222285,,-4.444444444444478,0.2999929395626661,0.6937636165577317
2.22,45,43.666666666666664,44.0,,,15.49,1.1111111111111143,,0.0,-0.5446623093681922,-0.1742919389978228
2.37,45,44.0,44.2,43.375,,15.55,2.1550179211469924,,2.222222222222239,0.34796893667862605,-0.7407407407407464
2.53,43,44.333333333333336,43.8,43.75,,15.55,-1.2858422939067964,,2.083333333333352,0.6600955794504367,1.4351851851851969
2.68,43,43.666666666666664,43.6,43.875,43.3,15.62,-3.333333333333343,,-4.444444444444465,-0.8213859020310489,-0.046296296296291395
2.83,44,43.333333333333336,44.0,43.875,43.7,15.68,-1.1469534050179107,1.678763440860223,-2.222222222222192,-1.9220430107526834,-1.5277777777777686
2.99,43,43.333333333333336,43.6,43.625,43.8,15.68,-1.4210854715202004e-14,0.036764705882362136,0.0,-1.493428912783756,-2.222222222222219
3.16,43,43.333333333333336,43.2,43.5,43.7,15.68,0.0,-0.6299019607843093,0.0,-0.3823178016726416,-0.7407407407407307
3.31,44,43.333333333333336,43.4,43.75,43.6,15.74,-2.222222222222257,-1.3333333333333712,0.0,-0.740740740740757,0.0
3.46,41,42.666666666666664,43.0,43.25,43.3,15.74,-4.3100358422939,-1.334677419354847,-4.444444444444478,-2.177419354838719,-1.4814814814814927
3.62,41,42.0,42.4,42.75,43.2,15.74,-0.8691756272401108,-0.302419354838662,-4.166666666666648,-2.467144563918756,-2.8703703703703756
3.77,45,42.333333333333336,42.8,43.0,43.2,15.74,3.937908496732021,-0.27573529411763786,2.222222222222239,-0.4137676576006631,-2.1296296296296293
3.94,44,43.333333333333336,43.0,43.125,43.1,15.68,7.479575163398664,0.4325980392156623,5.882352941176473,3.5161026776301916,1.3126361655773546
4.09,45,44.666666666666664,43.2,43.25,43.3,15.68,2.571684587813621,0.6881720430107237,8.888888888888863,4.663056082648102,5.664488017429192
4.25,43,44.0,43.6,43.25,43.3,15.62,-2.0161290322580783,-2.842170943040401e-14,-4.166666666666648,2.678376906318069,3.5348583877995625
