Time (s)	Range (mm)	Lumens (0dB)
0.77	48	0.64
1.06	49	0.64
1.26	49	0.64
2.25	49	0.58
2.41	49	0.58
2.57	50	0.58
2.73	50	0.58
2.89	51	0.58
3.05	50	0.58
3.2	51	0.58
3.38	48	0.58
3.54	49	0.58
3.7	48	0.58
3.86	48	0.58
4.02	48	0.58
4.2	47	0.58
4.36	49	0.58
4.54	47	0.58
4.7	48	0.58
4.86	48	0.58
5.02	47	0.58
5.17	49	0.58
5.36	47	0.58
5.54	48	0.58
5.74	49	0.58
5.93	47	0.58
6.11	46	0.58
6.27	47	0.64
6.52	47	0.64
6.75	47	0.58
6.97	47	0.64
7.14	47	0.64
7.31	48	0.64
7.48	48	0.64
7.68	46	0.64
8.81	47	0.64
8.99	44	0.64
9.16	45	0.64
9.33	46	0.64
9.5	44	0.64
9.67	46	0.64
9.84	45	0.64
10.01	44	0.64
10.19	45	0.64
10.35	44	0.58
10.52	43	0.64
10.69	44	0.58
10.85	41	0.58
11.02	45	0.64
11.19	45	0.58
11.36	45	0.58
11.53	44	0.58
11.69	43	0.58
11.86	44	0.58
12.03	43	0.58
12.2	43	0.58
12.37	44	0.58
12.54	44	0.58
12.7	42	0.58
12.87	44	0.58
13.04	43	0.58
13.21	41	0.58
13.38	41	0.58
13.55	40	0.58
13.72	41	0.58
13.9	43	0.58
14.07	44	0.58
14.26	42	0.58
14.44	43	0.58
14.61	43	0.58
14.78	43	0.58
14.96	43	0.58
15.13	41	0.58
15.3	42	0.58
15.47	42	0.58
15.64	41	0.58
15.81	42	0.58
15.98	40	0.58
16.15	41	0.58
16.32	42	0.58
16.49	42	0.58
16.65	43	0.58
16.82	42	0.58
17	41	0.58
17.17	42	0.58
17.34	39	0.58
17.51	42	0.58
17.68	40	0.58
17.85	40	0.58
18.02	37	0.58
18.2	38	0.58
18.37	38	0.58
18.55	38	0.58
18.72	37	0.58
18.89	36	0.58
19.06	35	0.58
19.23	36	0.58
19.42	35	0.58
19.59	35	0.58
19.75	34	0.58
19.92	35	0.58
20.1	37	0.58
20.26	35	0.58
20.43	34	0.58
20.6	36	0.58
20.77	36	0.58
20.96	36	0.58
21.12	36	0.58
21.29	34	0.58
21.47	37	0.58
21.65	37	0.58
21.82	36	0.58
22	36	0.58
22.17	35	0.58
22.34	34	0.58
22.51	35	0.58
22.68	35	0.58
22.85	36	0.58
23.01	35	0.58
23.19	35	0.58
23.35	34	0.58
23.53	35	0.58
23.7	36	0.58
23.89	36	0.58
24.06	33	0.58
24.23	35	0.58
24.4	35	0.58
24.57	36	0.58
24.74	36	0.58
24.91	35	0.58
25.08	36	0.58
25.25	37	0.58
25.42	36	0.58
25.59	36	0.58
25.76	35	0.58
25.92	34	0.58
26.1	33	0.58
26.29	35	0.58
26.46	36	0.58
26.63	35	0.58
26.81	33	0.58
26.98	32	0.58
27.16	35	0.58
27.33	37	0.58
27.51	34	0.58
27.69	35	0.58
27.85	35	0.58
28.03	35	0.58
28.2	36	0.58
28.38	34	0.58
28.55	36	0.58
28.72	36	0.58
28.89	37	0.58
29.07	35	0.58
29.24	36	0.58
29.41	37	0.58
29.58	37	0.58
29.75	37	0.58
29.91	38	0.58
30.08	36	0.58
30.25	37	0.58
30.42	37	0.58
30.59	38	0.51
30.75	38	0.51
30.92	39	0.51
31.09	38	0.51
31.27	39	0.51
31.44	40	0.51
31.63	39	0.51
31.8	39	0.51
31.99	40	0.51
32.16	40	0.51
32.34	38	0.51
32.52	40	0.51
32.69	41	0.51
32.87	39	0.51
33.06	40	0.51
33.24	39	0.51
33.42	40	0.51
33.6	41	0.51
33.78	42	0.51
33.96	40	0.51
34.13	38	0.51
34.3	40	0.51
34.48	40	0.51
34.65	40	0.51
34.82	41	0.51
34.99	39	0.51
35.18	38	0.51
35.35	40	0.51
35.52	39	0.51
35.69	40	0.51
35.88	40	0.51
36.05	40	0.51
36.22	41	0.51
36.39	41	0.51
36.56	41	0.51
36.73	41	0.58
36.9	45	0.58
37.07	44	0.58
37.25	44	0.58
37.43	46	0.58
37.6	46	0.58
37.77	46	0.51
37.94	47	0.51
38.12	45	0.58
38.29	47	0.58
38.46	47	0.51
38.63	45	0.51
38.8	47	0.51
38.97	46	0.58
39.14	45	0.51
39.31	48	0.51
39.48	47	0.51
39.67	47	0.51
39.85	48	0.51
40.02	46	0.51
40.19	45	0.51
40.36	46	0.51
40.54	46	0.51
40.71	47	0.51
40.88	45	0.51
41.06	46	0.51
41.23	45	0.58
41.41	47	0.51
41.58	49	0.51
41.75	48	0.51
41.92	46	0.51
42.1	46	0.51
42.28	47	0.51
42.45	47	0.51
42.63	46	0.51
42.81	48	0.51
42.98	47	0.51
43.15	47	0.51
43.32	46	0.51
43.5	48	0.51
43.67	45	0.51
43.84	46	0.51
44.01	46	0.51
44.2	48	0.51
44.38	46	0.51
44.56	45	0.51
44.73	48	0.51
44.9	46	0.51
45.08	48	0.51
45.25	45	0.51
45.43	45	0.51
45.6	46	0.58
45.78	47	0.58
45.97	47	0.64
46.14	45	0.64
46.31	46	0.64
46.5	46	0.58
46.69	45	0.64
46.86	47	0.64
47.05	45	0.64
47.23	44	0.64
47.42	46	0.64
47.59	47	0.64
47.76	46	0.64
47.93	47	0.64
