Time (s)	Range (mm)	Lumens (0dB)
0.76	45	0.64
1.04	48	0.64
1.26	45	0.64
2.19	48	0.64
2.36	46	0.64
2.52	46	0.64
2.68	46	0.64
2.84	46	0.64
3	45	0.64
3.16	45	0.64
3.31	44	0.64
3.47	47	0.64
3.62	45	0.64
3.78	47	0.64
3.94	46	0.64
4.09	46	0.64
4.25	47	0.64
4.41	46	0.64
4.59	45	0.64
4.77	47	0.64
4.97	47	0.64
5.2	46	0.64
5.37	47	0.64
5.53	46	0.64
5.71	48	0.64
5.89	48	0.64
6.07	44	0.64
6.24	45	0.64
6.41	46	0.64
6.58	45	0.64
6.75	47	0.64
6.91	46	0.64
7.13	48	0.64
7.35	46	0.64
7.58	47	0.64
7.81	46	0.64
7.99	46	0.7
8.23	44	0.64
9.68	45	0.64
9.87	47	0.64
10.05	48	0.64
10.22	44	0.64
10.41	45	0.64
10.59	47	0.64
10.76	47	0.64
10.93	47	0.64
11.12	44	0.64
11.29	44	0.64
11.47	44	0.64
11.64	45	0.64
11.81	44	0.64
11.98	45	0.64
12.16	45	0.64
12.34	46	0.58
12.51	45	0.58
12.69	46	0.58
12.87	47	0.51
13.05	47	0.51
13.24	45	0.51
13.42	45	0.51
13.6	47	0.58
13.78	45	0.58
13.95	46	0.58
14.13	44	0.58
14.31	45	0.58
14.48	44	0.58
14.66	43	0.58
14.84	44	0.58
15.01	44	0.51
15.19	45	0.51
15.36	45	0.51
15.53	45	0.51
15.72	43	0.58
15.89	45	0.51
16.06	45	0.51
16.24	43	0.58
16.42	45	0.58
16.59	44	0.58
16.76	45	0.51
16.94	42	0.51
17.12	40	0.51
17.29	40	0.51
17.47	40	0.51
17.64	39	0.51
17.81	38	0.51
17.99	37	0.51
18.16	37	0.51
18.34	34	0.51
18.51	37	0.51
18.69	34	0.51
18.86	37	0.51
19.05	35	0.51
19.23	37	0.51
19.4	37	0.51
19.58	35	0.51
19.76	35	0.51
19.93	36	0.51
20.11	35	0.51
20.28	36	0.51
20.45	36	0.51
20.63	36	0.51
20.8	34	0.51
20.97	36	0.51
21.15	36	0.51
21.33	37	0.51
21.51	35	0.51
21.69	37	0.51
21.86	35	0.51
22.04	35	0.51
22.22	34	0.51
22.4	35	0.51
22.57	35	0.51
22.74	36	0.51
22.92	34	0.51
23.09	35	0.51
23.26	35	0.51
23.44	33	0.51
23.61	34	0.51
23.78	34	0.51
23.95	36	0.51
24.13	35	0.51
24.31	36	0.51
24.5	34	0.51
24.68	35	0.51
24.86	34	0.51
25.04	33	0.51
25.22	35	0.51
25.39	34	0.51
25.56	37	0.51
25.74	34	0.51
25.91	34	0.51
26.08	34	0.51
26.26	34	0.51
26.44	35	0.51
26.62	34	0.51
26.81	36	0.51
26.99	35	0.51
27.16	35	0.51
27.34	32	0.51
27.51	35	0.51
27.68	33	0.51
27.86	35	0.51
28.03	37	0.51
28.2	37	0.51
28.4	36	0.51
28.57	37	0.51
28.75	35	0.51
28.93	34	0.51
29.1	37	0.51
29.28	34	0.51
29.45	39	0.51
29.63	40	0.51
29.8	37	0.51
29.97	40	0.51
30.15	39	0.51
30.33	40	0.51
30.51	40	0.51
30.7	39	0.51
30.88	40	0.51
31.06	39	0.51
31.23	37	0.51
31.41	41	0.51
31.59	41	0.51
31.77	39	0.51
31.94	41	0.51
32.12	41	0.51
32.3	41	0.51
32.47	39	0.51
32.65	43	0.51
32.83	41	0.51
33.01	41	0.51
33.19	41	0.51
33.36	39	0.51
33.54	40	0.58
33.71	43	0.51
33.91	41	0.51
34.09	40	0.51
34.26	42	0.51
34.43	40	0.51
34.61	42	0.51
34.79	40	0.51
34.96	42	0.51
35.13	43	0.58
35.3	43	0.58
35.48	45	0.58
35.65	47	0.58
35.82	46	0.58
36	46	0.58
36.16	46	0.58
36.34	46	0.51
36.51	46	0.58
36.69	45	0.58
36.89	47	0.58
37.07	44	0.58
37.24	49	0.51
37.42	45	0.58
37.59	45	0.58
37.8	50	0.58
37.97	47	0.58
38.14	45	0.58
38.31	46	0.58
38.49	47	0.58
38.68	47	0.58
38.85	46	0.58
39.03	48	0.58
39.2	46	0.51
39.38	47	0.51
39.55	47	0.51
39.73	48	0.51
39.9	47	0.58
40.07	49	0.58
40.25	47	0.58
40.43	46	0.58
40.6	47	0.58
40.78	46	0.58
40.96	47	0.58
41.14	49	0.58
41.35	46	0.58
41.58	49	0.58
41.79	49	0.64
42	48	0.58
42.2	49	0.64
42.41	48	0.58
42.58	48	0.64
42.76	49	0.64
42.93	46	0.58
43.1	48	0.64
43.29	47	0.64
43.46	48	0.64
43.66	47	0.64
43.83	48	0.64
44	47	0.64
44.18	48	0.58
