Time (s)	Range (mm)	Lumens (0dB)
0.76	46	0.58
1.04	46	0.58
1.24	46	0.58
2.19	45	0.58
2.36	45	0.58
2.51	43	0.58
2.68	45	0.58
2.84	44	0.51
3	44	0.51
3.16	42	0.51
3.32	43	0.51
3.47	46	0.51
3.64	45	0.51
3.8	44	0.51
3.97	44	0.51
4.13	46	0.51
4.28	47	0.51
4.44	45	0.51
4.6	47	0.51
4.76	46	0.51
4.92	44	0.51
5.08	45	0.51
5.24	45	0.51
5.4	45	0.51
5.56	46	0.51
5.72	45	0.51
5.88	45	0.51
6.05	44	0.51
6.21	46	0.51
6.44	46	0.51
6.6	47	0.51
6.79	45	0.51
7.05	44	0.51
7.27	45	0.51
7.48	46	0.58
7.67	46	0.58
7.85	46	0.58
8.02	47	0.51
8.2	48	0.58
8.37	43	0.58
8.56	47	0.58
9.68	45	0.58
9.87	45	0.58
10.04	43	0.58
10.22	47	0.58
10.39	45	0.58
10.57	44	0.58
10.75	44	0.58
10.92	46	0.58
11.1	47	0.58
11.28	45	0.58
11.48	46	0.58
11.65	42	0.58
11.83	44	0.58
12	44	0.58
12.17	44	0.58
12.34	45	0.58
12.52	45	0.58
12.69	42	0.58
12.87	45	0.58
13.07	44	0.58
13.25	46	0.58
13.43	43	0.58
13.6	44	0.58
13.79	42	0.58
13.98	44	0.58
14.15	46	0.58
14.33	44	0.58
14.5	42	0.58
14.68	44	0.58
14.87	44	0.58
15.07	44	0.58
15.25	44	0.58
15.43	45	0.58
15.6	45	0.58
15.77	44	0.58
15.95	42	0.58
16.12	45	0.58
16.3	43	0.58
16.48	43	0.58
16.66	41	0.58
16.83	40	0.58
17.01	38	0.58
17.18	38	0.58
17.36	37	0.58
17.54	37	0.58
17.74	39	0.58
17.91	39	0.58
18.09	37	0.58
18.27	36	0.58
18.45	36	0.58
18.62	36	0.58
18.79	34	0.58
18.99	35	0.58
19.17	37	0.58
19.35	35	0.58
19.53	38	0.58
19.71	35	0.58
19.9	35	0.58
20.08	35	0.58
20.25	35	0.58
20.43	36	0.58
20.61	34	0.58
20.78	34	0.58
20.96	36	0.58
21.13	36	0.58
21.3	37	0.58
21.48	35	0.58
21.66	37	0.58
21.84	35	0.58
22.02	33	0.58
22.2	36	0.58
22.38	34	0.58
22.55	35	0.58
22.73	34	0.58
22.93	36	0.58
23.1	35	0.58
23.27	36	0.58
23.45	35	0.58
23.62	35	0.58
23.8	34	0.58
23.98	36	0.58
24.16	35	0.58
24.34	35	0.58
24.53	35	0.58
24.71	33	0.58
24.89	36	0.58
25.07	35	0.58
25.25	35	0.58
25.42	35	0.58
25.6	36	0.58
25.78	33	0.58
25.96	35	0.58
26.16	35	0.58
26.34	35	0.58
26.52	36	0.58
26.7	35	0.58
26.88	36	0.58
27.07	35	0.58
27.25	35	0.58
27.42	35	0.58
27.6	36	0.58
27.79	35	0.58
27.96	38	0.58
28.14	37	0.58
28.32	36	0.58
28.49	38	0.58
28.67	37	0.58
28.84	38	0.58
29.02	37	0.58
29.2	37	0.58
29.37	37	0.58
29.55	40	0.58
29.73	41	0.58
29.91	40	0.58
30.09	40	0.58
30.26	39	0.58
30.45	39	0.58
30.63	37	0.58
30.81	38	0.58
30.98	38	0.58
31.16	38	0.58
31.33	39	0.58
31.5	38	0.58
31.68	39	0.58
31.86	41	0.58
32.04	40	0.58
32.21	40	0.58
32.41	42	0.58
32.58	40	0.58
32.76	42	0.58
32.93	40	0.58
33.12	38	0.58
33.3	40	0.58
33.48	40	0.58
33.66	39	0.58
33.84	42	0.58
34.03	41	0.58
34.2	41	0.58
34.37	39	0.58
34.56	43	0.58
34.74	44	0.58
34.92	45	0.58
35.09	47	0.58
35.27	46	0.51
35.45	46	0.51
35.63	44	0.58
35.8	45	0.58
35.97	46	0.58
36.14	47	0.58
36.33	44	0.58
36.51	44	0.58
36.69	48	0.64
36.86	47	0.58
37.04	44	0.58
37.22	49	0.58
37.39	46	0.51
37.57	46	0.51
37.77	44	0.51
37.94	48	0.51
38.12	49	0.51
38.29	48	0.51
38.47	47	0.51
38.66	48	0.51
38.84	48	0.51
39.02	47	0.51
39.19	47	0.51
39.37	48	0.51
39.55	47	0.51
39.72	48	0.51
39.9	47	0.51
40.09	47	0.51
40.26	48	0.51
40.44	47	0.51
40.62	47	0.51
40.8	46	0.51
40.99	48	0.51
41.16	45	0.51
41.34	48	0.51
41.52	46	0.51
41.7	47	0.51
41.88	45	0.51
42.06	48	0.51
42.23	48	0.51
42.41	48	0.51
42.59	46	0.51
42.77	45	0.51
42.95	47	0.51
43.13	48	0.51
43.32	45	0.51
43.53	46	0.51
43.71	49	0.51
43.91	47	0.51
44.09	49	0.51
44.28	45	0.51
44.47	45	0.51
44.65	47	0.51
